recId,type,legal_name,trade_name,street_address,registration_number,date_first_registered,registration_begins,registration_ends,establishment_status,supervisor_no,supervisor_name,successor_no,successor_name,active,SeqNumber,seqLength,displayLatitude,displayLongitude,locationLabel,houseNumber,street,district,city,postalCode,county,state,country,zip_code_match,original_zip,name_short,independent,name_simplified,category
18,PHARMACY,115 IRVING AVENUE PHARMACY INC.,,"235 WYCKOFF AVE. BROOKLYN, NY 11237-5303",18182,1984-06-11,2016-07-01,2016-09-08,DISCONTINUED,,,,,False,1.0,1.0,40.70177,-73.91489,"235 Wyckoff Ave, Brooklyn, NY 11237, United States",235,Wyckoff Ave,Bushwick,Brooklyn,11237.0,Kings,NY,USA,1,11237,115,True,115 IRVING AVENUE PHARMACY INC,INDEPENDENT
19,PHARMACY,115 IRVING AVENUE PHARMACY INC.,ATLANTIC PHARMACY & SURGICAL SUPPLIES,"1706-B ATLANTIC AVE. BROOKLYN, NY 11213-0000",35113,2016-12-27,2016-12-27,2019-04-19,TRANSFER,,,37321,"JFL PHARMACY, INC./ ATLANTIC PHARMACY & SURGICAL SUPPLIES",False,1.0,1.0,40.67722,-73.93407,"1706 Atlantic Ave, Brooklyn, NY 11213, United States",1706,Atlantic Ave,Weeksville,Brooklyn,11213.0,Kings,NY,USA,1,11213,115,True,115 IRVING AVENUE PHARMACY INC,INDEPENDENT
20,PHARMACY,1150 WEBSTER PHARMACY INC.,167TH STREET PHARMACY,"1150 WEBSTER AVE. BRONX, NY 10456-5205",33751,2015-08-28,2021-08-01,2024-07-31,,51330.0,,,,True,1.0,1.0,40.83028,-73.91053,"1150 Webster Ave, Bronx, NY 10456, United States",1150,Webster Ave,East Concourse-Concourse Village,Bronx,10456.0,Bronx,NY,USA,1,10456,1150,True,1150 WEBSTER PHARMACY INC,INDEPENDENT
23,PHARMACY,119 EINSTEIN PHARMACY INC.,,"119 EINSTEIN LOOP BRONX, NY 10475-0000",28123,2007-04-23,2007-04-23,2008-03-04,DISCONTINUED,,,,,False,1.0,1.0,40.8648,-73.82199,"119 Einstein Loop, Bronx, NY 10475, United States",119,Einstein Loop,Baychester,Bronx,10475.0,Bronx,NY,USA,1,10475,119,True,119 EINSTEIN PHARMACY INC,INDEPENDENT
27,PHARMACY,121 CENTRAL PHARMACY CORP,CENTRAL PHARMACY,"121 KENT AVE. BROOKLYN, NY 11249-2993",36034,2018-01-30,2018-01-30,2020-12-01,TRANSFER,,,38334,"CENTRAL PHARMACY OF BROOKLYN, LLC/ CENTRAL PHARMACY",False,1.0,1.0,40.72012,-73.96178,"121 Kent Ave, Brooklyn, NY 11249, United States",121,Kent Ave,Greenpoint,Brooklyn,11249.0,Kings,NY,USA,1,11249,121,False,121 CENTRAL PHARMACY CORP,INDEPENDENT
29,PHARMACY,121-16 LIBERTY AVENUE DRUGS INC.,CPW PHARMACY,"121-16 LIBERTY AVE. RICHMOND HILL, NY 11419-2112",27272,2005-06-22,2011-06-01,2012-12-10,TRANSFER,,,31231,CPW PHARMA INC./ CPW PHARMACY,False,1.0,1.0,40.6869,-73.82176,"121-16 Liberty Ave, New York, NY 11419, United States",121-16,Liberty Ave,South Ozone Park,New York,11419.0,Queens,NY,USA,1,11419,121-16,True,121-16 LIBERTY AVENUE DRUGS INC,INDEPENDENT
30,PHARMACY,1219 FIRST AVENUE PHARMACY INC.,CHEMIST PHARMACY,"93-30 43RD AVE. ELMHURST, NY 11373-0000",28122,2006-11-20,2012-10-01,2014-12-22,DISCONTINUED,,,,,False,1.0,1.0,40.74397,-73.87132,"93-30 43rd Ave, Elmhurst, NY 11373, United States",93-30,43rd Ave,Elmhurst,Elmhurst,11373.0,Queens,NY,USA,1,11373,1219,True,1219 FIRST AVENUE PHARMACY INC,INDEPENDENT
31,PHARMACY,1225 FULTON AVENUE PHARMACY INC.,BEST CARE PHARMACY,"1967 WESTCHESTER AVE. BRONX, NY 10462-0000",27415,2005-12-09,2017-12-01,2018-07-13,TRANSFER,,,36768,BEST CARE PHARMA INC/ BEST CARE PHARMACY,False,1.0,1.0,40.83371,-73.85875,"1967 Westchester Ave, Bronx, NY 10462, United States",1967,Westchester Ave,Parkchester,Bronx,10462.0,Bronx,NY,USA,1,10462,1225,True,1225 FULTON AVENUE PHARMACY INC,INDEPENDENT
32,PHARMACY,123 PHARMACY INC.,,"37-12 PRINCE ST. RETAIL F14 FLUSHING, NY 11354-0000",38735,2021-03-18,2021-03-18,2024-02-29,,,,,,True,1.0,1.0,40.7603478,-73.8328814,"37-12 Prince St, Flushing, NY 11354, United States",37-12,Prince St,Downtown Flushing,Flushing,11354.0,Queens,NY,USA,1,11354,123,True,123 PHARMACY INC,INDEPENDENT
33,PHARMACY,123 PHARMACY INC.,WE CARE PHARMACY,"764 BURKE AVENUE BRONX, NY 10467-0000",31972,2013-06-21,2022-06-01,2025-05-31,,68532.0,,,,True,1.0,1.0,40.87124,-73.86461,"764 Burke Ave, Bronx, NY 10467, United States",764,Burke Ave,Williamsbridge,Bronx,10467.0,Bronx,NY,USA,1,10467,123,True,123 PHARMACY INC,INDEPENDENT
35,PHARMACY,124 RX CORP.,QUICKRX,"157 WEST 124TH ST. NEW YORK, NY 10027-0000",28767,2008-01-28,2011-01-01,2013-06-27,DISCONTINUED,,,,,False,1.0,1.0,40.80809,-73.94805,"157 W 124th St, New York, NY 10027, United States",157,W 124th St,Harlem,New York,10027.0,New York,NY,USA,1,10027,124,True,124 RX CORP,INDEPENDENT
38,PHARMACY,1325 FIFTH AVE. DRUGS INC.,OCEANSIDE PHARMACY & SUPERMARKET,"3206 MERMAID AVE. BROOKLYN, NY 11224-1810",34982,2016-11-18,2019-11-01,2022-10-31,,49549.0,,,,True,1.0,1.0,40.57496,-73.9988,"3206 Mermaid Ave, Brooklyn, NY 11224, United States",3206,Mermaid Ave,Coney Island,Brooklyn,11224.0,Kings,NY,USA,1,11224,1325,False,1325 FIFTH AVE DRUGS INC,INDEPENDENT
39,PHARMACY,133 DRUG CORP.,LAKEVIEW PHARMACY,"133 LAKEVIEW AVE. LYNBROOK, NY 11563-0000",15748,1977-02-19,2022-03-01,2025-02-28,,39982.0,,,,True,1.0,1.0,40.66551,-73.66566,"133 Lakeview Ave, Lynbrook, NY 11563, United States",133,Lakeview Ave,,Lynbrook,11563.0,Nassau,NY,USA,1,11563,133,True,133 DRUG CORP,INDEPENDENT
40,PHARMACY,133RD STREET PHARMACY INC.,,"1473 AMSTERDAM AVE STORE 1 NEW YORK, NY 10027-0000",27564,2005-12-02,2020-12-01,2023-11-30,,,,,,True,1.0,1.0,40.81731,-73.95318,"1473 Amsterdam Ave, New York, NY 10027, United States",1473,Amsterdam Ave,Harlem,New York,10027.0,New York,NY,USA,1,10027,133RD,True,133RD STREET PHARMACY INC,INDEPENDENT
41,PHARMACY,135 JERICHO PHARMACY CORP,,"135 WEST JERICHO TURNPIKE STORE #3 HUNTINGTON STATION, NY 11746-0000",38860,2021-06-28,2021-06-28,2024-05-31,,,Type :  PHARMACY             Legal Name :  135 JERICHO PHARMACY CORP                          Trade Name :  Street Address :   135 WEST JERICHO TURNPIKE,,,True,1.0,1.0,40.82906,-73.41456,"135 W Jericho Tpke, Huntington Station, NY 11746, United States",135,W Jericho Tpke,Huntington Station,Huntington Station,11746.0,Suffolk,NY,USA,1,11746,135,True,135 JERICHO PHARMACY CORP,INDEPENDENT
45,PHARMACY,"1368 LINDEN BOULEVARD PHARMACY, INC.",LINDEN PHARMACY,"1368 LINDEN BOULEVARD BROOKLYN, NY 11212-0000",27217,2005-07-11,2008-07-01,2009-02-13,TRANSFER,,,29264,"LINDEN PHARMA, INC./ LINDEN PHARMACY",False,1.0,1.0,40.65406,-73.90949,"1368 Linden Blvd, Brooklyn, NY 11212, United States",1368,Linden Blvd,Brownsville,Brooklyn,11212.0,Kings,NY,USA,1,11212,1368,True,1368 LINDEN BOULEVARD PHARMACY INC,INDEPENDENT
46,PHARMACY,137 MOTT PHARMACY INC.,,"137 MOTT STREET NEW YORK, NY 10013-0000",39032,2021-08-24,2021-08-24,2024-07-31,,61752.0,,,,True,1.0,1.0,40.71856,-73.99681,"137 Mott St, New York, NY 10013, United States",137,Mott St,Little Italy,New York,10013.0,New York,NY,USA,1,10013,137,True,137 MOTT PHARMACY INC,INDEPENDENT
47,PHARMACY,137 PHARMACY CORP.,FAMILY PHARMACY,"3 WEST 137TH ST. NEW YORK, NY 10037-0000",31858,2013-07-26,2013-07-26,2015-02-19,DISCONTINUED,,,,,False,1.0,1.0,40.8143,-73.93704,"3 W 137th St, New York, NY 10037, United States",3,W 137th St,Harlem,New York,10037.0,New York,NY,USA,1,10037,137,True,137 PHARMACY CORP,INDEPENDENT
48,PHARMACY,"139 CENTER PHARMACY, LLC.",,"139 CENTRE ST. STORE 105 NEW YORK, NY 10013-0000",33068,2014-09-19,2020-09-01,2023-08-31,,,,,,True,1.0,1.0,40.71745,-74.00059,"139 Centre St, New York, NY 10013, United States",139,Centre St,Chinatown,New York,10013.0,New York,NY,USA,1,10013,139,True,139 CENTER PHARMACY LLC,INDEPENDENT
49,PHARMACY,139 PHARMACY INC.,,"3415 BROADWAY NEW YORK, NY 10031-0000",15978,1977-10-28,2019-11-01,2022-10-31,,46640.0,,,,True,1.0,1.0,40.82253,-73.95363,"3415 Broadway, New York, NY 10031, United States",3415,Broadway,Hamilton Heights,New York,10031.0,New York,NY,USA,1,10031,139,True,139 PHARMACY INC,INDEPENDENT
51,PHARMACY,13TH AVE PHARMACY INC.,,"5211-13TH AVE. BROOKLYN, NY 11219-0000",30745,2011-07-01,2020-07-01,2023-06-30,,61041.0,,,,True,1.0,1.0,40.63301,-73.994,"5211 13th Ave, Brooklyn, NY 11219, United States",5211,13th Ave,Borough Park,Brooklyn,11219.0,Kings,NY,USA,1,11219,13TH,True,13TH AVE PHARMACY INC,INDEPENDENT
53,PHARMACY,1400 ST NICHOLAS LLC,SAFE HEART PHARMACY,"1400 ST. NICHOLAS AVE. NEW YORK, NY 10033-0000",36579,2018-06-22,2021-06-01,2024-05-31,,35379.0,,,,True,1.0,1.0,40.84868,-73.93379,"1400 St Nicholas Ave, New York, NY 10033, United States",1400,St Nicholas Ave,Washington Heights North,New York,10033.0,New York,NY,USA,1,10033,1400,True,1400 ST NICHOLAS LLC,INDEPENDENT
55,PHARMACY,1413 FULTON ST. PHARMACY INC.,,"1413 FULTON ST. BROOKLYN, NY 11216-0000",15396,1976-03-01,2007-04-01,2009-03-23,TRANSFER,,,29275,1413 RX CORP./ QUICK RX,False,1.0,1.0,40.68025,-73.94463,"1413 Fulton St, Brooklyn, NY 11216, United States",1413,Fulton St,Bedford-Stuyvesant,Brooklyn,11216.0,Kings,NY,USA,1,11216,1413,True,1413 FULTON ST PHARMACY INC,INDEPENDENT
56,PHARMACY,1413 RX CORP.,QUICK RX,"1456 FULTON ST. BROOKLYN, NY 11216-0000",29275,2009-03-23,2018-03-01,2021-02-09,TRANSFER,,,38288,1413 RX NY LLC/ QUICK RX,False,1.0,1.0,40.67989,-73.94259,"1456 Fulton St, Brooklyn, NY 11216, United States",1456,Fulton St,Bedford-Stuyvesant,Brooklyn,11216.0,Kings,NY,USA,1,11216,1413,True,1413 RX CORP,INDEPENDENT
57,PHARMACY,1413 RX NY LLC,QUICK RX,"1456 FULTON ST BROOKLYN, NY 11216-0000",38288,2021-02-09,2021-02-09,2024-01-31,,50822.0,,,,True,1.0,1.0,40.67989,-73.94259,"1456 Fulton St, Brooklyn, NY 11216, United States",1456,Fulton St,Bedford-Stuyvesant,Brooklyn,11216.0,Kings,NY,USA,1,11216,1413,True,1413 RX NY LLC,INDEPENDENT
59,PHARMACY,145TH ST PHARMACY INC.,,"300 W. 145TH STREET NEW YORK, NY 10039-0000",34115,2015-12-17,2021-12-01,2024-11-30,,56473.0,,,,True,1.0,1.0,40.82292,-73.94259,"300 W 145th St, New York, NY 10039, United States",300,W 145th St,Harlem,New York,10039.0,New York,NY,USA,1,10039,145TH,True,145TH ST PHARMACY INC,INDEPENDENT
61,PHARMACY,"1491 DEKALB AVE. PHARMACY, INC.",,"1472 DEKALB AVE. BROOKLYN, NY 11237-0000",18542,1985-04-08,2013-05-01,2013-07-30,DISCONTINUED,,,,,False,1.0,1.0,40.70129,-73.92205,"1472 Dekalb Ave, Brooklyn, NY 11237, United States",1472,Dekalb Ave,Bushwick,Brooklyn,11237.0,Kings,NY,USA,1,11237,1491,True,1491 DEKALB AVE PHARMACY INC,INDEPENDENT
62,PHARMACY,1491 LEX PHARMACY INC.,LEXINGTON AVE CHEMISTS,"1491 LEXINGTON AVENUE NEW YORK, NY 10029-0000",27656,2006-02-06,2009-02-01,2011-04-27,DISCONTINUED,,,,,False,1.0,1.0,40.78605,-73.95063,"1491 Lexington Ave, New York, NY 10029, United States",1491,Lexington Ave,East Harlem,New York,10029.0,New York,NY,USA,1,10029,1491,True,1491 LEX PHARMACY INC,INDEPENDENT
63,PHARMACY,15 W PHARMACY NY LLC,THE WELLMART PHARMACY,"200 WESTAGE BUSINESS CENTER DRIVE FISHKILL, NY 12524-0000",27728,2006-08-01,2006-08-01,2007-11-21,DISCONTINUED,,,,,False,1.0,1.0,41.52764,-73.89644,"200 Westage Business Center Dr, Fishkill, NY 12524, United States",200,Westage Business Center Dr,,Fishkill,12524.0,Dutchess,NY,USA,1,12524,15,True,15 W PHARMACY NY LLC,INDEPENDENT
64,PHARMACY,1500 MET DRUG INC.,OVAL DRUG,"1500 METROPOLITAN AVE. BRONX, NY 10462-0000",21084,1991-09-05,2013-10-01,2015-07-29,TRANSFER,,,33722,OVAL PHARMACY CORP./ OVAL DRUG,False,1.0,1.0,40.83914,-73.85868,"1500 Metropolitan Ave, Bronx, NY 10462, United States",1500,Metropolitan Ave,Parkchester,Bronx,10462.0,Bronx,NY,USA,1,10462,1500,True,1500 MET DRUG INC,INDEPENDENT
67,PHARMACY,158 RX CORP.,QUICK RX,"11 EDWARD MORGAN PLACE NEW YORK, NY 10032-0000",29684,2009-08-25,2009-08-25,2010-06-24,DISCONTINUED,,,,,False,1.0,1.0,40.83461,-73.94524,"11 Edward M Morgan Pl, New York, NY 10032, United States",11,Edward M Morgan Pl,Washington Heights South,New York,10032.0,New York,NY,USA,1,10032,158,True,158 RX CORP,INDEPENDENT
69,PHARMACY,"158TH ST. NEIGHBORHOOD PHARMACY, LLC",,"3103 3RD AVENUE BRONX, NY 10457-0000",26148,2003-09-22,2005-01-01,2007-10-26,DISCONTINUED,,,,,False,1.0,1.0,40.82175,-73.91218,"3103 3rd Ave, Bronx, NY 10451, United States",3103,3rd Ave,Melrose South-Mott Haven North,Bronx,10451.0,Bronx,NY,USA,0,10457,158TH,True,158TH ST NEIGHBORHOOD PHARMACY LLC,INDEPENDENT
70,PHARMACY,161 ST. PHARMA INC.,161 ST PHARMACY & SURGICAL SUPPLIES,"275 E 161ST ST. BRONX, NY 10451-0000",35767,2018-04-25,2021-04-01,2024-03-31,,62838.0,,,,True,1.0,1.0,40.82561,-73.91801,"275 E 161st St, Bronx, NY 10451, United States",275,E 161st St,East Concourse-Concourse Village,Bronx,10451.0,Bronx,NY,USA,1,10451,161,True,161 ST PHARMA INC,INDEPENDENT
71,PHARMACY,161 ST. PHARMACY INC.,161 ST. PHARMACY & DISCOUNT STORE,"275 EAST 161ST. ST. BRONX, NY 10451-0000",27268,2005-08-18,2017-08-01,2018-04-25,TRANSFER,,,35767,161 ST. PHARMA INC./ 161 ST PHARMACY & SURGICAL SUPPLIES,False,1.0,1.0,40.82561,-73.91801,"275 E 161st St, Bronx, NY 10451, United States",275,E 161st St,East Concourse-Concourse Village,Bronx,10451.0,Bronx,NY,USA,1,10451,161,True,161 ST PHARMACY INC,INDEPENDENT
72,PHARMACY,1622 VOORHIES AVE PHARMACY INC.,SUNSHINE PHARMACY,"1622 VOORHIES AVE BROOKLYN, NY 11235-0000",29665,2009-10-05,2021-10-01,2024-09-30,,55039.0,,,,True,1.0,1.0,40.58582,-73.9521,"1622 Voorhies Ave, Brooklyn, NY 11235, United States",1622,Voorhies Ave,Sheepshead Bay,Brooklyn,11235.0,Kings,NY,USA,1,11235,1622,True,1622 VOORHIES AVE PHARMACY INC,INDEPENDENT
74,PHARMACY,167 RX INC,,"55 EAST 167TH ST BRONX, NY 10452-0000",38342,2020-08-27,2020-08-27,2023-07-31,,54210.0,,,,True,1.0,1.0,40.83573,-73.9208,"55 E 167th St, Bronx, NY 10452, United States",55,E 167th St,Concourse,Bronx,10452.0,Bronx,NY,USA,1,10452,167,True,167 RX INC,INDEPENDENT
75,PHARMACY,167 STREET PRESCRIPTION CENTER INC.,UNIVERSAL PRESCRIPTION CENTER,"112 E. 167TH ST. BRONX, NY 10452-0000",13277,2071-04-03,2010-05-01,2012-12-28,DISCONTINUED,,,,,False,1.0,1.0,40.83478,-73.91902,"112 E 167th St, Bronx, NY 10452, United States",112,E 167th St,Concourse,Bronx,10452.0,Bronx,NY,USA,1,10452,167,True,167 STREET PRESCRIPTION CENTER INC,INDEPENDENT
76,PHARMACY,168 DME INC,168 PHARMACY,"135-05 38TH AVE. FLUSHING, NY 11354-0000",38398,2020-09-29,2020-09-29,2023-08-31,,59344.0,,,,True,1.0,1.0,40.7603391,-73.8324915,"135-05 38th Ave, Flushing, NY 11354, United States",135-05,38th Ave,Downtown Flushing,Flushing,11354.0,Queens,NY,USA,1,11354,168,True,168 DME INC,INDEPENDENT
78,PHARMACY,169 DME INC.,169 PHARMACY,"136-46 41ST AVE UNIT 1D FLUSHING, NY 11355-0000",39526,2022-05-12,2022-05-12,2025-04-30,,,,,,True,1.0,1.0,40.75873,-73.82769,"136-46 41st Ave, Flushing, NY 11355, United States",136-46,41st Ave,Downtown Flushing,Flushing,11355.0,Queens,NY,USA,1,11355,169,True,169 DME INC,INDEPENDENT
81,PHARMACY,1699 FANCY PHARMACY INC.,,"132 ALLEN ST. NEW YORK, NY 10002-3008",19989,1988-10-28,2019-11-01,2022-10-31,,54035.0,,,,True,1.0,1.0,40.71987,-73.98976,"132 Allen St, New York, NY 10002, United States",132,Allen St,Lower East Side,New York,10002.0,New York,NY,USA,1,10002,1699,True,1699 FANCY PHARMACY INC,INDEPENDENT
82,PHARMACY,16TH AVE PHARMACY LLC,,"4605 16TH AVE. BROOKLYN, NY 11204-1105",38082,2020-04-07,2020-04-07,2023-03-31,,57177.0,,,,True,1.0,1.0,40.63248,-73.9838,"4605 16th Ave, Brooklyn, NY 11204, United States",4605,16th Ave,Borough Park,Brooklyn,11204.0,Kings,NY,USA,1,11204,16TH,True,16TH AVE PHARMACY LLC,INDEPENDENT
83,PHARMACY,16TH AVENUE PHARMACY INC.,,"4408 16TH AVENUE BROOKLYN, NY 11204-0000",24523,1999-12-08,2011-01-01,2012-05-30,DISCONTINUED,,,,,False,1.0,1.0,40.63374,-73.98295,"4408 16th Ave, Brooklyn, NY 11204, United States",4408,16th Ave,Borough Park,Brooklyn,11204.0,Kings,NY,USA,1,11204,16TH,True,16TH AVENUE PHARMACY INC,INDEPENDENT
84,PHARMACY,1708 PHARMACY INC.,,"523 LENOX AVE. NEW YORK, NY 10037-0000",24712,2000-08-03,2005-01-01,2006-06-20,TRANSFER,,,27852,MALCOLM X PHARMACY CORP.,False,1.0,1.0,40.81505,-73.9405,"523 Lenox Ave, New York, NY 10037, United States",523,Lenox Ave,Harlem,New York,10037.0,New York,NY,USA,1,10037,1708,True,1708 PHARMACY INC,INDEPENDENT
87,PHARMACY,1717-1721 AVE. U CORP.,MORRIS DRUGS,"1717-1721 AVENUE U BROOKLYN, NY 11229-0000",20853,1991-02-27,2005-01-01,2005-03-15,TRANSFER,,,27006,MORRIS DRUG INC./ MORRIS DRUGS,False,1.0,1.0,40.59925,-73.95383,"1721 Avenue U, Brooklyn, NY 11229, United States",1721,Avenue U,Sheepshead Bay,Brooklyn,11229.0,Kings,NY,USA,1,11229,1717-1721,True,1717-1721 AVE U CORP,INDEPENDENT
88,PHARMACY,1721 CARNEGIE HILL PHARMACY INC.,CARNEGIE HILL PHARMACY,"1721 BROADWAY NEW YORK, NY 10019-5214",31604,2013-02-14,2022-02-01,2022-04-15,DISCONTINUED,,,,,False,1.0,1.0,40.7645,-73.9825,"1721 Broadway, New York, NY 10019, United States",1721,Broadway,Clinton,New York,10019.0,New York,NY,USA,1,10019,1721,True,1721 CARNEGIE HILL PHARMACY INC,INDEPENDENT
89,PHARMACY,1725 FOSTER DRUG CORP.,WILLNER DRUG,"1725 FOSTER AVE. BROOKLYN, NY 11230-0000",20952,1991-07-31,,2004-03-25,DISCONTINUED,,,,,False,1.0,1.0,40.6351883,-73.9610587,"1725 Foster Ave, Brooklyn, NY 11230, United States",1725,Foster Ave,Flatbush-Ditmas Park,Brooklyn,11230.0,Kings,NY,USA,1,11230,1725,True,1725 FOSTER DRUG CORP,INDEPENDENT
90,PHARMACY,173 PHARMACY CORP.,,"572 W 173RD ST NEW YORK, NY 10032-0000",39423,2022-04-07,2022-04-07,2025-03-31,,54888.0,,,,True,1.0,1.0,40.8439,-73.9373,"572 W 173rd St, New York, NY 10032, United States",572,W 173rd St,Washington Heights South,New York,10032.0,New York,NY,USA,1,10032,173,True,173 PHARMACY CORP,INDEPENDENT
92,PHARMACY,"1746 PHARMACY, CORP.",CLARKSON PHARMACY,"524 CLARKSON AVE. BROOKLYN, NY 11203-0000",16591,1979-10-24,2019-11-01,2022-10-31,,49675.0,,,,True,1.0,1.0,40.65572,-73.94204,"524 Clarkson Ave, Brooklyn, NY 11203, United States",524,Clarkson Ave,East Flatbush,Brooklyn,11203.0,Kings,NY,USA,1,11203,1746,True,1746 PHARMACY CORP,INDEPENDENT
93,PHARMACY,175 JERICHO PHARMACY CORP.,SYOSSET PHARMACY,"175 JERICHO TPKE. WEST LOBBY SUITE SYOSSET, NY 11791-4532",36613,2018-05-24,2021-05-01,2024-04-30,,,,,,True,1.0,1.0,40.81083,-73.50985,"175 Jericho Tpke, Syosset, NY 11791, United States",175,Jericho Tpke,,Syosset,11791.0,Nassau,NY,USA,1,11791,175,True,175 JERICHO PHARMACY CORP,INDEPENDENT
94,PHARMACY,1756 PHARMACY INC.,DRUG RICH PHARMACY,"1756 3RD AVE. NEW YORK, NY 10029-0000",17558,1982-09-13,2005-01-01,2006-11-30,DISCONTINUED,,,,,False,1.0,1.0,40.7861216,-73.9488342,"1756 3rd Ave, New York, NY 10029, United States",1756,3rd Ave,East Harlem,New York,10029.0,New York,NY,USA,1,10029,1756,True,1756 PHARMACY INC,INDEPENDENT
98,PHARMACY,"179 ATLANTIC, INC.",HEALTH MART PHARMACY,"29 ATLANTIC AVENUE FREEPORT, NY 11520-0000",26615,2004-04-27,2022-05-01,2025-04-30,,40035.0,,,,True,1.0,1.0,40.6463,-73.57716,"29 Atlantic Ave, Freeport, NY 11520, United States",29,Atlantic Ave,,Freeport,11520.0,Nassau,NY,USA,1,11520,179,True,179 ATLANTIC INC,INDEPENDENT
