recId,type,legal_name,trade_name,street_address,registration_number,date_first_registered,registration_begins,registration_ends,establishment_status,supervisor_no,supervisor_name,successor_no,successor_name,active,SeqNumber,seqLength,displayLatitude,displayLongitude,locationLabel,houseNumber,street,district,city,postalCode,county,state,country,zip_code_match,original_zip,name_short,independent
"235",PHARMACY,"4800 BEAR ROAD OPERATING COMPANY, LLC.",,"4800 BEAR ROAD LIVERPOOL, NY 13088-4604","31933",2013-08-06,2019-08-01,2022-07-31,,"44896.0",,,,True,"1.0","1.0","43.1236","-76.18081","4800 Bear Rd, Liverpool, NY 13088, United States","4800",Bear Rd,,Liverpool,"13088.0",Onondaga,NY,USA,"1","13088","4800",True
"238",PHARMACY,4TH AVE DRUG STORE INC,,"26 SOUTH 4TH AVE. MOUNT VERNON, NY 10550-0000","37098",2019-02-08,2022-02-01,2025-01-31,,"50572.0",,,,True,"1.0","1.0","40.91073","-73.83705","26 S 4th Ave, Mt Vernon, NY 10550, United States","26",S 4th Ave,South Side,Mt Vernon,"10550.0",Westchester,NY,USA,"1","10550",4TH,True
"261",PHARMACY,"5775 MAELOU DRIVE OPERATING COMPANY, LLC.",,"5775 MAELOU DRIVE HAMBURG, NY 14075-7419","31934",2013-08-06,2022-08-01,2025-07-31,,"44928.0",,,,True,"1.0","1.0","42.73169","-78.83277","5775 Maelou Dr, Hamburg, NY 14075, United States","5775",Maelou Dr,,Hamburg,"14075.0",Erie,NY,USA,"1","14075","5775",True
"269",PHARMACY,"5TH AVE. DRUG, INC.",SALU RX MED,"1805 FIFTH AVE. STORE B BAYSHORE, NY 11706-0000","20130",1989-04-03,2022-05-01,2025-04-30,,,,,,True,"1.0","1.0","40.77256","-73.25979","1805 5th Ave, Bay Shore, NY 11706, United States","1805",5th Ave,North Bay Shore,Bay Shore,"11706.0",Suffolk,NY,USA,"1","11706",5TH,True
"384",PHARMACY,"A & J PHARMACY, LLC.",,"45 WEBSTER COMMONS BLVD. WEBSTER, NY 14580-3813","30499",2011-01-11,2020-01-01,2022-12-31,,"42089.0",,,,True,"1.0","1.0","43.20865","-77.45213","45 Webster Commons Blvd, Webster, NY 14580, United States","45",Webster Commons Blvd,,Webster,"14580.0",Monroe,NY,USA,"1","14580",A,True
"393",PHARMACY,"A & R PHARMACY, INC.",GRABEL'S APOTHECARY,"140 LOCKWOOD AVENUE NEW ROCHELLE, NY 10801-0000","22892",1996-05-16,2022-06-01,2025-05-31,,"31586.0",,,,True,"1.0","1.0","40.91283","-73.79056","140 Lockwood Ave, New Rochelle, NY 10801, United States","140",Lockwood Ave,,New Rochelle,"10801.0",Westchester,NY,USA,"1","10801",A,True
"410",PHARMACY,A REAL PHARMACY INC.,MEDICAL GROUP PHARMACY,"756 SOUTH BROADWAY HICKSVILLE, NY 11801-0000","18318",1984-10-17,2019-11-01,2022-10-31,,"34147.0",,,,True,"1.0","1.0","40.75016","-73.50481","756 S Broadway, Hicksville, NY 11801, United States","756",S Broadway,,Hicksville,"11801.0",Nassau,NY,USA,"1","11801",A,True
"428",PHARMACY,A.J.A.J. INC,WESTRIVER PHARMACY,"66 MAIN ST. YONKERS, NY 10701-2772","35830",2018-04-12,2021-04-01,2024-03-31,,"59263.0",,,,True,"1.0","1.0","40.93454","-73.90146","66 Main St, Yonkers, NY 10701, United States","66",Main St,Downtown Yonkers,Yonkers,"10701.0",Westchester,NY,USA,"1","10701",A.J.A.J.,True
"447",PHARMACY,AAA GPO INC,VALLEY PHARMACY,"79 ROOSEVELT AVE VALLEY STREAM, NY 11581-0000","37828",2019-11-18,2019-11-18,2022-10-31,,"40260.0",,,,True,"1.0","1.0","40.65923","-73.70389","79 Roosevelt Ave, Valley Stream, NY 11581, United States","79",Roosevelt Ave,,Valley Stream,"11581.0",Nassau,NY,USA,"1","11581",AAA,True
"493",PHARMACY,"ACARIAHEALTH PHARMACY #12, INC.",,"5 SKYLINE DR. SUITE 240 HAWTHORNE, NY 10532-0000","30446",2011-01-25,2020-01-01,2022-12-31,,,,,,True,"1.0","1.0","41.09143","-73.81221","5 Skyline Dr, Hawthorne, NY 10532, United States","5",Skyline Dr,Valhalla,Hawthorne,"10532.0",Westchester,NY,USA,"1","10532",ACARIAHEALTH,True
"507",PHARMACY,ACME MARKETS INC.,ACME PHARMACY #1063,"3101 ROUTE 22 PATTERSON, NY 12563-2342","34673",2016-09-12,2019-09-01,2022-08-31,,"32777.0",,,,True,"1.0","1.0","41.51699","-73.59152","3101 Route 22, Patterson, NY 12563, United States","3101",Route 22,,Patterson,"12563.0",Putnam,NY,USA,"1","12563",ACME,False
"508",PHARMACY,"ACME MARKETS, INC.",ACME PHARMACY,"1511 ROUTE 22 BREWSTER, NY 10509-0000","34008",2016-01-14,2022-01-01,2024-12-31,,"62394.0",,,,True,"1.0","1.0","41.42116","-73.57692","1511 Route 22, Brewster, NY 10509, United States","1511",Route 22,,Brewster,"10509.0",Putnam,NY,USA,"1","10509",ACME,False
"509",PHARMACY,"ACME MARKETS, INC.",ACME PHARMACY,"829 ROUTE 82 HOPEWELL JUNCTION, NY 12533-0000","34009",2015-12-17,2021-12-01,2024-11-30,,"61408.0",,,,True,"1.0","1.0","41.58075","-73.81137","829 Route 82, Hopewell Junction, NY 12533, United States","829",Route 82,,Hopewell Junction,"12533.0",Dutchess,NY,USA,"1","12533",ACME,False
"510",PHARMACY,"ACME MARKETS, INC.",ACME PHARMACY,"3071 E.MAIN ST. MOHEGAN LAKE, NY 10547-0000","34010",2016-01-06,2022-01-01,2024-12-31,,"37233.0",,,,True,"1.0","2.0","41.3109595","-73.8719444","3101 E Main St, Mohegan Lake, NY 10547, United States","3101",E Main St,,Mohegan Lake,"10547.0",Westchester,NY,USA,"1","10547",ACME,False
"511",PHARMACY,"ACME MARKETS, INC.",ACME PHARMACY,"100 TRIANGLE CTR. YORKTOWN, NY 10598-4134","34011",2015-12-18,2021-12-01,2024-11-30,,"41958.0",,,,True,"1.0","1.0","41.27781","-73.7797","100 Triangle Ctr, Yorktown Heights, NY 10598, United States","100",Triangle Ctr,,Yorktown Heights,"10598.0",Westchester,NY,USA,"1","10598",ACME,False
"513",PHARMACY,"ACRX, LLC.",MERK CHEMISTS,"973 MCLEAN AVE. YONKERS, NY 10704-0000","33823",2015-11-05,2021-11-01,2024-10-31,,"49319.0",,,,True,"1.0","1.0","40.90282","-73.86562","973 McLean Ave, Yonkers, NY 10704, United States","973",McLean Ave,Southeast Yonkers,Yonkers,"10704.0",Westchester,NY,USA,"1","10704","ACRX,",True
"523",PHARMACY,"ADDISON'S APOTHECARY, INC",,"36 MAIN ST. ADDISON, NY 14801-0000","29862",2009-12-09,2021-12-01,2024-11-30,,"49587.0",,,,True,"1.0","1.0","42.10619","-77.23437","36 Main St, Addison, NY 14801, United States","36",Main St,,Addison,"14801.0",Steuben,NY,USA,"1","14801",ADDISON'S,True
"529",PHARMACY,"ADIRONDACK APOTHECARY, LLC",MORIAH PHARMACY,"4315 MAIN ST. PORT HENRY, NY 12974-0000","27981",2006-08-24,2021-07-01,2024-06-30,,"51109.0",,,,True,"1.0","1.0","44.04806","-73.46","4315 Main St, Port Henry, NY 12974, United States","4315",Main St,,Port Henry,"12974.0",Essex,NY,USA,"1","12974",ADIRONDACK,True
"530",PHARMACY,"ADIRONDACK APOTHECARY, LLC",WILLSBORO PHARMACY,"3932 NYS RT 22 WILLSBORO, NY 12996-0000","28290",2007-03-21,2022-03-01,2025-02-28,,"53700.0",,,,True,"1.0","1.0","44.37161","-73.39821","3932 Nys Route 22, Willsboro, NY 12996, United States","3932",Nys Route 22,,Willsboro,"12996.0",Essex,NY,USA,"1","12996",ADIRONDACK,True
"533",PHARMACY,ADIRONDACK MEDICAL CENTER,,"C/O PHARMACY 2233 STATE RT.86 SARANAC LAKE, NY 12983-0000","20896",1991-03-05,2022-04-01,2025-03-31,,,,,,True,"1.0","1.0","44.34581","-74.14452","2233 RT-86, Saranac Lake, NY 12983, United States","2233",RT-86,,Saranac Lake,"12983.0",Franklin,NY,USA,"1","12983",ADIRONDACK,False
"535",PHARMACY,"ADIRONDACK PHARMACY, INC.",,"4057 STATE HIGHWAY 3 STAR LAKE, NY 13690-0000","25407",2002-07-26,2022-08-01,2025-07-31,,"42863.0",,,,True,"1.0","1.0","44.16614","-75.04605","4057 State Highway 3, Star Lake, NY 13690, United States","4057",State Highway 3,,Star Lake,"13690.0",St Lawrence,NY,USA,"1","13690",ADIRONDACK,True
"566",PHARMACY,AFFORDABLE RX INC.,AFFORDABLE SCRIPT,"177 ROCKAWAY AVENUE VALLEY STREAM, NY 11580-5823","34684",2016-06-22,2022-06-01,2025-05-31,,"34794.0",,,,True,"1.0","1.0","40.66178","-73.69916","177 Rockaway Ave, Valley Stream, NY 11580, United States","177",Rockaway Ave,,Valley Stream,"11580.0",Nassau,NY,USA,"1","11580",AFFORDABLE,True
"580",PHARMACY,"AHG OF NEW YORK, INC.",ACCREDO,"125 CLEARBROOK RD. SUITE 122 ELMSFORD, NY 10523-1109","22968",1996-08-12,2019-09-01,2022-08-31,,,,,,True,"1.0","1.0","41.07422","-73.81422","125 Clearbrook Rd, Elmsford, NY 10523, United States","125",Clearbrook Rd,,Elmsford,"10523.0",Westchester,NY,USA,"1","10523",AHG,True
"591",PHARMACY,AIDS HEALTHCARE FOUNDATION,AHF PHARMACY,"619 MAIN STREET    . FARMINGDALE, NY 11735-4100","31438",2012-08-27,2021-08-01,2024-07-31,,"46940.0",,,,True,"1.0","1.0","40.72562","-73.44226","619 Main St, Farmingdale, NY 11735, United States","619",Main St,South Farmingdale,Farmingdale,"11735.0",Nassau,NY,USA,"1","11735",AIDS,False
"611",PHARMACY,"AJW PHARMACY, LLC",,"354 HEMPSTEAD AVE WEST HEMPSTEAD, NY 11552-0000","37957",2020-03-31,2020-03-31,2023-02-28,,"51553.0",,,,True,"1.0","1.0","40.69913","-73.65113","354 Hempstead Ave, West Hempstead, NY 11552, United States","354",Hempstead Ave,,West Hempstead,"11552.0",Nassau,NY,USA,"1","11552",AJW,True
"621",PHARMACY,"AL-BARAKAH PHARMACY, LLC",,"2228 HYLAN BLVD STATEN ISLAND, NY 10306-0000","39324",2022-01-13,2022-01-13,2024-12-31,,"48029.0",,,,True,"1.0","1.0","40.57605","-74.10359","2228 Hylan Blvd, Staten Island, NY 10306, United States","2228",Hylan Blvd,Dongan Hills,Staten Island,"10306.0",Richmond,NY,USA,"1","10306",AL-BARAKAH,True
"638",PHARMACY,ALBANY COLLEGE OF PHARMACY & HEALTH SCIENCES,COLLEGE PARKSIDE PHARMACY,"920 LARK DRIVE ALBANY, NY 12207-0000","34959",2016-11-18,2019-11-01,2022-10-31,,"32936.0",,,,True,"1.0","1.0","42.66186","-73.74829","920 Lark Dr, Albany, NY 12207, United States","920",Lark Dr,Arbor Hill,Albany,"12207.0",Albany,NY,USA,"1","12207",ALBANY,True
"639",PHARMACY,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES,,"- C/O PHARMACY DEPT. 106 NEW SCOTLAND AVE. ALBANY, NY 12208-0000","20",1931-01-01,2022-02-01,2025-01-31,,,,,,True,"1.0","1.0","42.65215","-73.77863","106 New Scotland Ave, Albany, NY 12208, United States","106",New Scotland Ave,University Heights,Albany,"12208.0",Albany,NY,USA,"1","12208",ALBANY,True
"640",PHARMACY,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES,COLLEGE HOMETOWN PHARMACY,"1044 STATE STREET SCHENECTADY, NY 12307-0000","34081",2015-12-29,2021-12-01,2024-11-30,,"43775.0",,,,True,"1.0","1.0","42.8011","-73.92828","1044 State St, Schenectady, NY 12307, United States","1044",State St,Hamilton Hills,Schenectady,"12307.0",Schenectady,NY,USA,"1","12307",ALBANY,True
"643",PHARMACY,ALBANY MED HEALTH SYSTEM,ALBANY MEDICAL CENTER PHARMACY,"43 NEW SCOTLAND AVE. ALBANY, NY 12208-3478","31510",2012-10-30,2021-10-01,2024-09-30,,"43865.0",,,,True,"1.0","1.0","42.65319","-73.77419","43 New Scotland Ave, Albany, NY 12208, United States","43",New Scotland Ave,University Heights,Albany,"12208.0",Albany,NY,USA,"1","12208",ALBANY,False
"645",PHARMACY,ALBANY MEDICAL CENTER HOSPITAL,,"PHARMACY DEPT.,  A-85 43 NEW SCOTLAND AVE. ALBANY, NY 12208-0000","28",1931-01-01,2022-02-01,2025-01-31,,,,,,True,"1.0","1.0","42.65319","-73.77419","43 New Scotland Ave, Albany, NY 12208, United States","43",New Scotland Ave,University Heights,Albany,"12208.0",Albany,NY,USA,"1","12208",ALBANY,False
"646",PHARMACY,ALBANY MEDICAL CENTER SOUTH CLINICAL CAMPUS,,"C/O PHARMACY 25 HACKETT BLVD. ALBANY, NY 12208-0000","25244",2002-02-01,2022-03-01,2025-02-28,,,,,,True,"1.0","1.0","42.6468","-73.77994","25 Hackett Blvd, Albany, NY 12208, United States","25",Hackett Blvd,University Heights,Albany,"12208.0",Albany,NY,USA,"1","12208",ALBANY,False
"652",PHARMACY,ALDEN PHARMACY INC.,,"13203 BROADWAY ALDEN, NY 14004-0000","18705",1985-07-16,2019-08-01,2022-07-31,,"55004.0",,,,True,"1.0","1.0","42.89993","-78.496","13203 Broadway, Alden, NY 14004, United States","13203",Broadway,,Alden,"14004.0",Erie,NY,USA,"1","14004",ALDEN,True
"657",PHARMACY,"ALEXANDER INFUSION, LLC",AVANTI HEALTH CARE SERVICES,"C/O PHARMACY 75 NASSAU TERMINAL RD. SUITE 101 NEW HYDE PARK, NY 11040-0000","23601",1998-03-31,2022-04-01,2025-03-31,,,,,,True,"1.0","1.0","40.73442","-73.67337","75 Nassau Terminal Rd, New Hyde Park, NY 11040, United States","75",Nassau Terminal Rd,,New Hyde Park,"11040.0",Nassau,NY,USA,"1","11040",ALEXANDER,True
"661",PHARMACY,"ALEXANDER PHARMACY, LLC",ALEXANDER PHARMACY,"222 ALEXANDER ST. STE 2700 ROCHESTER, NY 14607-0000","36153",2018-02-27,2021-02-01,2024-01-31,,,,,,True,"1.0","1.0","43.14969","-77.59717","222 Alexander St, Rochester, NY 14607, United States","222",Alexander St,Park Avenue,Rochester,"14607.0",Monroe,NY,USA,"1","14607",ALEXANDER,True
"666",PHARMACY,"ALFRED PHARMACY, INC.",,"36 N. MAIN ST. ALFRED, NY 14802-0000","19532",1987-09-01,2019-10-01,2022-09-30,,"36075.0",,,,True,"1.0","1.0","42.25506","-77.78981","36 N Main St, Alfred, NY 14802, United States","36",N Main St,,Alfred,"14802.0",Allegany,NY,USA,"1","14802",ALFRED,True
"668",PHARMACY,ALICE HYDE MEDICAL CENTER,UNIVERSITY OF VERMONT HEALTH NETWORK-,"C/O PHARMACY 133 PARK STREET MALONE, NY 12953-0000","11238",1966-04-04,2022-05-01,2025-04-30,,,,,,True,"1.0","1.0","44.85691","-74.29194","133 Park St, Malone, NY 12953, United States","133",Park St,,Malone,"12953.0",Franklin,NY,USA,"1","12953",ALICE,False
"697",PHARMACY,ALLCARE HEALTH PHARMACY LLC,SUNSHINE PHARMACY,"276 MAIN ST. WHITE PLAINS, NY 10601-2443","35051",2016-12-02,2019-12-01,2022-11-30,,"60068.0",,,,True,"1.0","1.0","41.03369","-73.76327","276 Main St, White Plains, NY 10601, United States","276",Main St,,White Plains,"10601.0",Westchester,NY,USA,"1","10601",ALLCARE,True
"741",PHARMACY,ALPINE APOTHECARIES INC.,PERFECT PHARMACY,"524 SOUTH BROADWAY HICKSVILLE, NY 11801-0000","25543",2002-12-02,2020-01-01,2022-12-31,,"36494.0",,,,True,"1.0","1.0","40.75543","-73.51007","524 S Broadway, Hicksville, NY 11801, United States","524",S Broadway,,Hicksville,"11801.0",Nassau,NY,USA,"1","11801",ALPINE,True
"745",PHARMACY,"ALSHAFA PHARMACY, INC.",WYANDANCH DRUGS,"323 MERRITT AVE. WYANDANCH, NY 11798-0000","24851",2000-12-13,2020-01-01,2022-12-31,,"32514.0",,,,True,"1.0","1.0","40.75472","-73.3607","323 Merritt Ave, Wyandanch, NY 11798, United States","323",Merritt Ave,,Wyandanch,"11798.0",Suffolk,NY,USA,"1","11798",ALSHAFA,True
"750",PHARMACY,"ALTO PHARMACY, LONG ISLAND, LLC",ALTO PHARMACY,"100 MANETTO HILL RD. SUITE 104 PLAINVIEW, NY 11803-0000","37490",2019-07-10,2022-07-01,2025-06-30,,,,,,True,"1.0","1.0","40.78128","-73.47244","100 Manetto Hill Rd, Plainview, NY 11803, United States","100",Manetto Hill Rd,,Plainview,"11803.0",Nassau,NY,USA,"1","11803",ALTO,True
"756",PHARMACY,AMAN PHARMACY INC.,SHOREHAM DRUGS,"99-1 ROUTE 25A P.O. BOX 876 SHOREHAM, NY 11786-0000","22730",1995-12-22,2020-01-01,2022-12-31,,,,,,True,"1.0","1.0","40.94685","-72.89449","99 Route 25A, Shoreham, NY 11786, United States","99",Route 25A,East Shoreham,Shoreham,"11786.0",Suffolk,NY,USA,"1","11786",AMAN,True
"759",PHARMACY,AMARDESH INC.,VALLEY PHARMACY,"45 KENNEDY DRIVE SPRING VALLEY, NY 10977-0000","34627",2016-05-26,2022-05-01,2025-04-30,,"35938.0",,,,True,"1.0","1.0","41.1070558","-74.0579681","45 Kennedy Dr, Spring Valley, NY 10977, United States","45",Kennedy Dr,,Spring Valley,"10977.0",Rockland,NY,USA,"1","10977",AMARDESH,True
"773",PHARMACY,"AMBER ENTERPRISES, INC.",AMBER SPECIALTY PHARMACY,"520 ELLICOTT ST. SUITE 200 BUFFALO, NY 14203-0000","36622",2019-03-20,2022-03-01,2025-02-28,,,,,,True,"1.0","1.0","42.89261","-78.87","520 Ellicott St, Buffalo, NY 14203, United States","520",Ellicott St,Central Business District,Buffalo,"14203.0",Erie,NY,USA,"1","14203",AMBER,True
"774",PHARMACY,"AMBOY PHARMACY, INC.",,"7095 AMBOY RD. STATEN ISLAND, NY 10307-0000","36581",2018-05-25,2021-05-01,2024-04-30,,"29817.0",,,,True,"1.0","1.0","40.51456","-74.23595","7095 Amboy Rd, Staten Island, NY 10307, United States","7095",Amboy Rd,Tottenville,Staten Island,"10307.0",Richmond,NY,USA,"1","10307",AMBOY,True
"781",PHARMACY,AMENIA DRUGS LLC,AMENIA DRUGS,"5094 ROUTE 22 PO BOX 48 AMENIA, NY 12501-0000","36780",2018-12-14,2021-12-01,2024-11-30,,,,,,True,"1.0","1.0","41.85881","-73.5519","5094 Route 22, Amenia, NY 12501, United States","5094",Route 22,,Amenia,"12501.0",Dutchess,NY,USA,"1","12501",AMENIA,True
"792",PHARMACY,"AMERICAN HORMONES, INC.",,"C/O PHARMACY 10 BOICE ROAD HYDE PARK, NY 12538-0000","26225",2003-10-06,2019-11-01,2022-10-31,,,,,,True,"1.0","1.0","41.78848","-73.93329","10 Boice Rd, Hyde Park, NY 12538, United States","10",Boice Rd,,Hyde Park,"12538.0",Dutchess,NY,USA,"1","12538",AMERICAN,True
"804",PHARMACY,AMERICARE COMPOUNDING LLC,,"319 NASSAU BLVD. SOUTH GARDEN CITY, NY 11530-0000","31410",2012-08-20,2021-08-01,2024-07-31,,"47839.0",,,,True,"1.0","1.0","40.71541","-73.66125","319 Nassau Blvd, Garden City, NY 11530, United States","319",Nassau Blvd,,Garden City,"11530.0",Nassau,NY,USA,"1","11530",AMERICARE,True
"807",PHARMACY,AMERICARE PHARMACEUTICAL SERVICES INC.,,"C/O PHARMACY 317 NASSAU BLVD. GARDEN CITY SOUTH, NY 11530-0000","23276",1997-08-13,2019-09-01,2022-08-31,,,,,,True,"1.0","1.0","40.71533","-73.66125","317 Nassau Blvd, Garden City, NY 11530, United States","317",Nassau Blvd,,Garden City,"11530.0",Nassau,NY,USA,"1","11530",AMERICARE,True
"810",PHARMACY,"AMERITA OF NEW YORK, LLC",AMERITA,"75 NASSAU TERMINAL RD. SUITE 100 NEW HYDE PARK, NY 11040-4927","37303",2019-03-27,2022-03-01,2025-02-28,,,,,,True,"1.0","1.0","40.73442","-73.67337","75 Nassau Terminal Rd, New Hyde Park, NY 11040, United States","75",Nassau Terminal Rd,,New Hyde Park,"11040.0",Nassau,NY,USA,"1","11040",AMERITA,True
"842",PHARMACY,ANA'S PHARMACY LTD.,RIVERDALE PHARMACY,"77 RIVERDALE AVE. YONKERS, NY 10701-0000","31714",2013-04-05,2022-04-01,2025-03-31,,"65333.0",,,,True,"1.0","1.0","40.9306133","-73.9007108","77 Riverdale Ave, Yonkers, NY 10701, United States","77",Riverdale Ave,Downtown Yonkers,Yonkers,"10701.0",Westchester,NY,USA,"1","10701",ANA'S,True
"844",PHARMACY,"ANAYA, I INC.",CANNON PHARMACY,"23 S. MAIN ST. FREEPORT, NY 11520-0000","34914",2016-08-31,2022-08-01,2025-07-31,,"68335.0",,,,True,"1.0","1.0","40.65676","-73.58229","23 S Main St, Freeport, NY 11520, United States","23",S Main St,,Freeport,"11520.0",Nassau,NY,USA,"1","11520","ANAYA,",True
"846",PHARMACY,ANCHOR RX PHARMACY INC.,ANCHOR RX PHARMACY,"3110 LONG BEACH RD. OCEANSIDE, NY 11572-3200","36957",2019-01-04,2022-01-01,2024-12-31,,"65148.0",,,,True,"1.0","1.0","40.63625","-73.64063","3110 Long Beach Rd, Oceanside, NY 11572, United States","3110",Long Beach Rd,,Oceanside,"11572.0",Nassau,NY,USA,"1","11572",ANCHOR,True
"854",PHARMACY,"ANGELO FRIELLO, INC.",PALMER'S PHARMACY,"2 E. MAIN ST. JOHNSTOWN, NY 12095-0000","16393",1979-04-02,2022-05-01,2025-04-30,,"33305.0",,,,True,"1.0","1.0","43.00626","-74.37104","2 E Main St, Johnstown, NY 12095, United States","2",E Main St,,Johnstown,"12095.0",Fulton,NY,USA,"1","12095",ANGELO,True
"866",PHARMACY,ANNADALE FAMILY PHARMACY INC.,,"831 ANNADALE ROAD STATEN ISLAND, NY 10312-0000","24389",1999-07-12,2019-08-01,2022-07-31,,"38739.0",,,,True,"1.0","1.0","40.54153","-74.1771","831 Annadale Rd, Staten Island, NY 10312, United States","831",Annadale Rd,Arden Heights,Staten Island,"10312.0",Richmond,NY,USA,"1","10312",ANNADALE,True
"873",PHARMACY,ANTHONY-BROWN PHARMACY INC.,,"4328 S. BUFFALO ST. ORCHARD PARK, NY 14127-0000","10413",1964-01-02,2022-02-01,2025-01-31,,"46155.0",,,,True,"1.0","1.0","42.76556","-78.74455","4328 S Buffalo St, Orchard Park, NY 14127, United States","4328",S Buffalo St,,Orchard Park,"14127.0",Erie,NY,USA,"1","14127",ANTHONY-BROWN,True
"923",PHARMACY,ARBOR HOLDINGS LLC,FRANWIN PHARMACY MINEOLA SURGICAL,"127 MINEOLA BLVD MINEOLA, NY 11501-0000","34615",2016-06-10,2022-06-01,2025-05-31,,"49160.0",,,,True,"1.0","1.0","40.74241","-73.64086","127 Mineola Blvd, Mineola, NY 11501, United States","127",Mineola Blvd,,Mineola,"11501.0",Nassau,NY,USA,"1","11501",ARBOR,True
