recId,type,legal_name,trade_name,street_address,registration_number,date_first_registered,registration_begins,registration_ends,establishment_status,supervisor_no,supervisor_name,successor_no,successor_name,active,SeqNumber,seqLength,displayLatitude,displayLongitude,locationLabel,houseNumber,street,district,city,postalCode,county,state,country,zip_code_match,original_zip,name_short,independent,name_simplified,category,geometry,index_right,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,is_hpsa
10271,PHARMACY,PRAYOSHA PHARMACY CORP.,,"54 EAST 183RD STREET BRONX, NY 10453-0000",26460,2004-02-18,2022-03-01,2025-02-28,,44774.0,,,,True,1.0,1.0,40.85821,-73.90255,"54 E 183rd St, Bronx, NY 10453, United States",54,E 183rd St,Fordham South,Bronx,10453.0,Bronx,NY,USA,1,10453,PRAYOSHA,True,PRAYOSHA PHARMACY CORP,INDEPENDENT,POINT (-73.90255 40.85821),2559,36,005,023900,36005023900,239,Census Tract 239,G5020,S,178487,0,+40.8589133,-073.9028682,True
6,PHARMACY,103 PHARMACY INC.,,"2002 SECOND AVENUE STORE 1 NEW YORK, NY 10029-0000",34593,2016-06-22,2019-06-01,2021-05-27,TRANSFER,,,,,False,1.0,1.0,40.78878,-73.94356,"2002 2nd Ave, New York, NY 10029, United States",2002,2nd Ave,East Harlem,New York,10029.0,New York,NY,USA,1,10029,103,True,103 PHARMACY INC,INDEPENDENT,POINT (-73.94356 40.78878),5405,36,061,016400,36061016400,164,Census Tract 164,G5020,S,177386,0,+40.7877141,-073.9444744,True
359,PHARMACY,92 PHARMACY INC.,,"1938 SECOND AVENUE. NEW YORK, NY 10035-0000",25557,2003-04-15,2016-05-01,2018-04-04,TRANSFER,,,36485,92 DRUGS INC./ 92 PHARMACY,False,1.0,1.0,40.78668,-73.94514,"1938 2nd Ave, New York, NY 10029, United States",1938,2nd Ave,East Harlem,New York,10029.0,New York,NY,USA,0,10035,92,True,92 PHARMACY INC,INDEPENDENT,POINT (-73.94514 40.78668),5405,36,061,016400,36061016400,164,Census Tract 164,G5020,S,177386,0,+40.7877141,-073.9444744,True
3881,PHARMACY,DUANE READE,,"C/O PHARMACY 333 EAST 102ND STREET NEW YORK, NY 10029-5602",26645,2004-04-13,2017-01-01,2017-12-14,DISCONTINUED,,,,,False,1.0,1.0,40.78753,-73.94267,"333 E 102nd St, New York, NY 10029, United States",333,E 102nd St,East Harlem,New York,10029.0,New York,NY,USA,1,10029,DUANE,False,DUANE READE,MAJOR CHAIN,POINT (-73.94267 40.78753),5405,36,061,016400,36061016400,164,Census Tract 164,G5020,S,177386,0,+40.7877141,-073.9444744,True
4006,PHARMACY,"EAST HARLEM APOTHECARY, INC.",METRORX,"300 E. 102ND ST. NEW YORK, NY 10029-6314",34247,2015-12-18,2021-12-01,2024-11-30,,42816.0,,,,True,1.0,1.0,40.78792,-73.94437,"300 E 102nd St, New York, NY 10029, United States",300,E 102nd St,East Harlem,New York,10029.0,New York,NY,USA,1,10029,EAST,True,EAST HARLEM APOTHECARY INC,INDEPENDENT,POINT (-73.94437 40.78792),5405,36,061,016400,36061016400,164,Census Tract 164,G5020,S,177386,0,+40.7877141,-073.9444744,True
11300,PHARMACY,"RITE AID OF NEW YORK, INC.",,"C/O PHARMACY 1951 1ST. AVE. NEW YORK, NY 10029-6419",27261,2005-04-27,2019-10-01,2021-11-18,DISCONTINUED,,,,,False,1.0,1.0,40.7858383,-73.9430266,"1951 1st Ave, New York, NY 10029, United States",1951,1st Ave,East Harlem,New York,10029.0,New York,NY,USA,1,10029,RITE,False,RITE AID OF NEW YORK INC,MAJOR CHAIN,POINT (-73.9430266 40.7858383),5405,36,061,016400,36061016400,164,Census Tract 164,G5020,S,177386,0,+40.7877141,-073.9444744,True
11,PHARMACY,1070 SOUTHERN DRUG LLC,BOCA PHARMACY,"1070 SOUTHERN BLVD BRONX, NY 10459-2499",33179,2014-12-01,2020-12-01,2023-11-30,,30627.0,,,,True,1.0,1.0,40.8252,-73.89173,"1070 Southern Blvd, Bronx, NY 10459, United States",1070,Southern Blvd,Hunts Point,Bronx,10459.0,Bronx,NY,USA,1,10459,1070,True,1070 SOUTHERN DRUG LLC,INDEPENDENT,POINT (-73.89173 40.8252),680,36,005,012701,36005012701,127.01,Census Tract 127.01,G5020,S,108718,0,+40.8256346,-073.8923283,True
11459,PHARMACY,ROJAS PHARMACY INC.,,"964 E. 167TH ST. BRONX, NY 10459-0000",33822,2015-10-06,2018-10-01,2020-12-23,DISCONTINUED,,,,,False,1.0,1.0,40.82667,-73.89155,"964 E 167th St, Bronx, NY 10459, United States",964,E 167th St,Hunts Point,Bronx,10459.0,Bronx,NY,USA,1,10459,ROJAS,True,ROJAS PHARMACY INC,INDEPENDENT,POINT (-73.89155 40.82667),680,36,005,012701,36005012701,127.01,Census Tract 127.01,G5020,S,108718,0,+40.8256346,-073.8923283,True
14125,PHARMACY,"WALGREEN EASTERN CO., INC.",WALGREENS,"1031 WESTCHESTER AVE. BRONX, NY 10459-0000",31159,2012-06-22,2019-08-01,2020-08-10,DISCONTINUED,,,,,False,1.0,1.0,40.82439,-73.89282,"1031 Westchester Ave, Bronx, NY 10459, United States",1031,Westchester Ave,Hunts Point,Bronx,10459.0,Bronx,NY,USA,1,10459,WALGREEN,False,WALGREEN EASTERN CO INC,MAJOR CHAIN,POINT (-73.89282 40.82439),680,36,005,012701,36005012701,127.01,Census Tract 127.01,G5020,S,108718,0,+40.8256346,-073.8923283,True
19,PHARMACY,115 IRVING AVENUE PHARMACY INC.,ATLANTIC PHARMACY & SURGICAL SUPPLIES,"1706-B ATLANTIC AVE. BROOKLYN, NY 11213-0000",35113,2016-12-27,2016-12-27,2019-04-19,TRANSFER,,,37321,"JFL PHARMACY, INC./ ATLANTIC PHARMACY & SURGICAL SUPPLIES",False,1.0,1.0,40.67722,-73.93407,"1706 Atlantic Ave, Brooklyn, NY 11213, United States",1706,Atlantic Ave,Weeksville,Brooklyn,11213.0,Kings,NY,USA,1,11213,115,True,115 IRVING AVENUE PHARMACY INC,INDEPENDENT,POINT (-73.93407 40.67722),4952,36,047,030900,36047030900,309,Census Tract 309,G5020,S,151863,0,+40.6761508,-073.9330036,True
20,PHARMACY,1150 WEBSTER PHARMACY INC.,167TH STREET PHARMACY,"1150 WEBSTER AVE. BRONX, NY 10456-5205",33751,2015-08-28,2021-08-01,2024-07-31,,51330.0,,,,True,1.0,1.0,40.83028,-73.91053,"1150 Webster Ave, Bronx, NY 10456, United States",1150,Webster Ave,East Concourse-Concourse Village,Bronx,10456.0,Bronx,NY,USA,1,10456,1150,True,1150 WEBSTER PHARMACY INC,INDEPENDENT,POINT (-73.91053 40.83028),550,36,005,014300,36005014300,143,Census Tract 143,G5020,S,129711,0,+40.8277474,-073.9121298,True
31,PHARMACY,1225 FULTON AVENUE PHARMACY INC.,BEST CARE PHARMACY,"1967 WESTCHESTER AVE. BRONX, NY 10462-0000",27415,2005-12-09,2017-12-01,2018-07-13,TRANSFER,,,36768,BEST CARE PHARMA INC/ BEST CARE PHARMACY,False,1.0,1.0,40.83371,-73.85875,"1967 Westchester Ave, Bronx, NY 10462, United States",1967,Westchester Ave,Parkchester,Bronx,10462.0,Bronx,NY,USA,1,10462,1225,True,1225 FULTON AVENUE PHARMACY INC,INDEPENDENT,POINT (-73.85875 40.83371),3187,36,005,022200,36005022200,222,Census Tract 222,G5020,S,221189,0,+40.8356878,-073.8552050,True
705,PHARMACY,ALLERTON CORP.,BRONX PHARMACY,"1320 METROPOLITAN AVE. BRONX, NY 10462-7971",28470,2007-07-24,2022-07-01,2025-06-30,,67100.0,,,,True,1.0,1.0,40.8337677,-73.8605898,"1320 Metropolitan Ave, Bronx, NY 10462, United States",1320,Metropolitan Ave,Parkchester,Bronx,10462.0,Bronx,NY,USA,1,10462,ALLERTON,True,ALLERTON CORP,INDEPENDENT,POINT (-73.8605898 40.8337677),3187,36,005,022200,36005022200,222,Census Tract 222,G5020,S,221189,0,+40.8356878,-073.8552050,True
6322,PHARMACY,HILL PHARMACY INC.,,"2197 WESTCHESTER AVE. BRONX, NY 10462-0000",31280,2012-05-14,2021-05-01,2024-04-30,,30080.0,,,,True,1.0,1.0,40.83432,-73.85217,"2197 Westchester Ave, Bronx, NY 10462, United States",2197,Westchester Ave,Parkchester,Bronx,10462.0,Bronx,NY,USA,1,10462,HILL,True,HILL PHARMACY INC,INDEPENDENT,POINT (-73.85217 40.83432),3187,36,005,022200,36005022200,222,Census Tract 222,G5020,S,221189,0,+40.8356878,-073.8552050,True
6792,PHARMACY,JEFFERSON PHARMA LLC,VCARE PHARMACY,"1959 WESTCHESTER AVENUE BRONX, NY 10462-0000",31367,2012-07-12,2018-07-01,2019-01-08,DISCONTINUED,,,,,False,1.0,1.0,40.83358,-73.8589,"1959 Westchester Ave, Bronx, NY 10462, United States",1959,Westchester Ave,Parkchester,Bronx,10462.0,Bronx,NY,USA,1,10462,JEFFERSON,True,JEFFERSON PHARMA LLC,INDEPENDENT,POINT (-73.8589 40.83358),3187,36,005,022200,36005022200,222,Census Tract 222,G5020,S,221189,0,+40.8356878,-073.8552050,True
8313,PHARMACY,MCGRAW PHARMACY INC.,,"2048 MCGRAW AVE BRONX, NY 10462-0000",34246,2016-01-06,2022-01-01,2024-12-31,,58095.0,,,,True,1.0,1.0,40.83542,-73.85615,"2048 McGraw Ave, Bronx, NY 10462, United States",2048,McGraw Ave,Parkchester,Bronx,10462.0,Bronx,NY,USA,1,10462,MCGRAW,True,MCGRAW PHARMACY INC,INDEPENDENT,POINT (-73.85615 40.83542),3187,36,005,022200,36005022200,222,Census Tract 222,G5020,S,221189,0,+40.8356878,-073.8552050,True
9720,PHARMACY,PARKARE PHARMACY INC.,,"2158 STARLING AVE. BRONX, NY 10462-0000",29593,2009-08-25,2021-08-01,2024-07-31,,46511.0,,,,True,1.0,1.0,40.83609,-73.8535,"2158 Starling Ave, Bronx, NY 10462, United States",2158,Starling Ave,Parkchester,Bronx,10462.0,Bronx,NY,USA,1,10462,PARKARE,True,PARKARE PHARMACY INC,INDEPENDENT,POINT (-73.8535 40.83609),3187,36,005,022200,36005022200,222,Census Tract 222,G5020,S,221189,0,+40.8356878,-073.8552050,True
9721,PHARMACY,PARKCHESTER FAMILY PHARMACY & SURGICAL INC.,,"1445 UNIONPORT RD. BRONX, NY 10462-0000",28184,2007-02-05,2022-02-01,2025-01-31,,50956.0,,,,True,1.0,1.0,40.83533,-73.85539,"1445 Unionport Rd, Bronx, NY 10462, United States",1445,Unionport Rd,Parkchester,Bronx,10462.0,Bronx,NY,USA,1,10462,PARKCHESTER,True,PARKCHESTER FAMILY PHARMACY & SURGICAL INC,INDEPENDENT,POINT (-73.85539 40.83533),3187,36,005,022200,36005022200,222,Census Tract 222,G5020,S,221189,0,+40.8356878,-073.8552050,True
12433,PHARMACY,STARLING PHARMACY INC.,STARLING PHARMACY,"2098 STARLING AVE. BRONX, NY 10462-0000",32181,2013-12-18,2019-12-01,2022-11-30,,60766.0,,,,True,1.0,1.0,40.8359,-73.85525,"2098 Starling Ave, Bronx, NY 10462, United States",2098,Starling Ave,Parkchester,Bronx,10462.0,Bronx,NY,USA,1,10462,STARLING,True,STARLING PHARMACY INC,INDEPENDENT,POINT (-73.85525 40.8359),3187,36,005,022200,36005022200,222,Census Tract 222,G5020,S,221189,0,+40.8356878,-073.8552050,True
12766,PHARMACY,TAKE CARE PHARMACY INC.,,"2134 STARLING AVE. BRONX, NY 10462-0000",32523,2014-05-19,2020-05-01,2023-04-30,,54361.0,,,,True,1.0,1.0,40.83605,-73.85389,"2134 Starling Ave, Bronx, NY 10462, United States",2134,Starling Ave,Parkchester,Bronx,10462.0,Bronx,NY,USA,1,10462,TAKE,True,TAKE CARE PHARMACY INC,INDEPENDENT,POINT (-73.85389 40.83605),3187,36,005,022200,36005022200,222,Census Tract 222,G5020,S,221189,0,+40.8356878,-073.8552050,True
33,PHARMACY,123 PHARMACY INC.,WE CARE PHARMACY,"764 BURKE AVENUE BRONX, NY 10467-0000",31972,2013-06-21,2022-06-01,2025-05-31,,68532.0,,,,True,1.0,1.0,40.87124,-73.86461,"764 Burke Ave, Bronx, NY 10467, United States",764,Burke Ave,Williamsbridge,Bronx,10467.0,Bronx,NY,USA,1,10467,123,True,123 PHARMACY INC,INDEPENDENT,POINT (-73.86461 40.87124),4848,36,005,033802,36005033802,338.02,Census Tract 338.02,G5020,S,46999,0,+40.8705487,-073.8657440,False
38,PHARMACY,1325 FIFTH AVE. DRUGS INC.,OCEANSIDE PHARMACY & SUPERMARKET,"3206 MERMAID AVE. BROOKLYN, NY 11224-1810",34982,2016-11-18,2019-11-01,2022-10-31,,49549.0,,,,True,1.0,1.0,40.57496,-73.9988,"3206 Mermaid Ave, Brooklyn, NY 11224, United States",3206,Mermaid Ave,Coney Island,Brooklyn,11224.0,Kings,NY,USA,1,11224,1325,False,1325 FIFTH AVE DRUGS INC,INDEPENDENT,POINT (-73.9988 40.57496),4634,36,047,034200,36047034200,342,Census Tract 342,G5020,S,229959,0,+40.5741077,-073.9968627,True
1586,PHARMACY,BRANAC INC.,CONEY ISLAND PHARMACY,"2720 MERMAID AVE. BROOKLYN, NY 11224-0000",24885,2000-11-21,2019-12-01,2020-12-23,TRANSFER,,,38236,BRANAC NY LLC/ CONEY ISLAND PHARMACY,False,1.0,1.0,40.5755,-73.99396,"2720 Mermaid Ave, Brooklyn, NY 11224, United States",2720,Mermaid Ave,Coney Island,Brooklyn,11224.0,Kings,NY,USA,1,11224,BRANAC,True,BRANAC INC,INDEPENDENT,POINT (-73.99396 40.5755),4634,36,047,034200,36047034200,342,Census Tract 342,G5020,S,229959,0,+40.5741077,-073.9968627,True
2455,PHARMACY,CONEY ISLAND HEALTH SERVICES INC.,SAUL'S PHARMACY & SURGICAL SUPPLIES,"3514 MERMAID AVE. BROOKLYN, NY 11224-0000",22534,1995-06-21,2019-07-01,2022-06-30,,65664.0,,,,True,1.0,1.0,40.57468,-74.00101,"3514 Mermaid Ave, Brooklyn, NY 11224, United States",3514,Mermaid Ave,Coney Island,Brooklyn,11224.0,Kings,NY,USA,1,11224,CONEY,True,CONEY ISLAND HEALTH SERVICES INC,INDEPENDENT,POINT (-74.00101 40.57468),4634,36,047,034200,36047034200,342,Census Tract 342,G5020,S,229959,0,+40.5741077,-073.9968627,True
5244,PHARMACY,FULL CARE PHARMACY INC.,COMMUNITY CARE PHARMACY,"2913 SURF AVENUE BROOKLYN, NY 11224-0000",31020,2012-01-18,2021-01-01,2023-12-31,,57900.0,,,,True,1.0,1.0,40.5729345,-73.9956224,"2913 Surf Ave, Brooklyn, NY 11224, United States",2913,Surf Ave,Coney Island,Brooklyn,11224.0,Kings,NY,USA,1,11224,FULL,True,FULL CARE PHARMACY INC,INDEPENDENT,POINT (-73.9956224 40.5729345),4634,36,047,034200,36047034200,342,Census Tract 342,G5020,S,229959,0,+40.5741077,-073.9968627,True
8443,PHARMACY,"MEGA AID PHARMACY, INC.",,"3112 MERMAID AVE BROOKLYN, NY 11224-0000",28473,2007-08-17,2019-08-01,2020-04-16,DISCONTINUED,,,,,False,1.0,1.0,40.57506,-73.99786,"3112 Mermaid Ave, Brooklyn, NY 11224, United States",3112,Mermaid Ave,Coney Island,Brooklyn,11224.0,Kings,NY,USA,1,11224,MEGA,True,MEGA AID PHARMACY INC,INDEPENDENT,POINT (-73.99786 40.57506),4634,36,047,034200,36047034200,342,Census Tract 342,G5020,S,229959,0,+40.5741077,-073.9968627,True
12692,PHARMACY,SURF PHARMACY CORP.,FAMILY DRUGSTORE,"3010 MERMAID AVE BROOKLYN, NY 11224-0000",28574,2007-10-22,2019-10-01,2022-09-30,,51492.0,,,,True,1.0,1.0,40.57519,-73.9967,"3010 Mermaid Ave, Brooklyn, NY 11224, United States",3010,Mermaid Ave,Coney Island,Brooklyn,11224.0,Kings,NY,USA,1,11224,SURF,True,SURF PHARMACY CORP,INDEPENDENT,POINT (-73.9967 40.57519),4634,36,047,034200,36047034200,342,Census Tract 342,G5020,S,229959,0,+40.5741077,-073.9968627,True
39,PHARMACY,133 DRUG CORP.,LAKEVIEW PHARMACY,"133 LAKEVIEW AVE. LYNBROOK, NY 11563-0000",15748,1977-02-19,2022-03-01,2025-02-28,,39982.0,,,,True,1.0,1.0,40.66551,-73.66566,"133 Lakeview Ave, Lynbrook, NY 11563, United States",133,Lakeview Ave,,Lynbrook,11563.0,Nassau,NY,USA,1,11563,133,True,133 DRUG CORP,INDEPENDENT,POINT (-73.66566 40.66551),3940,36,059,412000,36059412000,4120,Census Tract 4120,G5020,S,1812673,0,+40.6592725,-073.6640379,False
5494,PHARMACY,"GENOVESE DRUG STORES, INC.",RITE AID PHARMACY,"C/O PHARMACY 400 SUNRISE HIGHWAY LYNBROOK, NY 11563-0000",22717,1995-11-02,2019-11-01,2022-04-20,DISCONTINUED,,,,,False,1.0,1.0,40.65548,-73.66965,"400 Sunrise Hwy, Lynbrook, NY 11563, United States",400,Sunrise Hwy,,Lynbrook,11563.0,Nassau,NY,USA,1,11563,GENOVESE,False,GENOVESE DRUG STORES INC,MAJOR CHAIN,POINT (-73.66965 40.65548),3940,36,059,412000,36059412000,4120,Census Tract 4120,G5020,S,1812673,0,+40.6592725,-073.6640379,False
8999,PHARMACY,NEEMA PHARMACY INC.,PICKER PHARMACY,"18 ATLANTIC AVE. LYNBROOK, NY 11563-0000",20066,1988-12-22,2020-01-01,2022-12-31,,37833.0,,,,True,1.0,1.0,40.65633,-73.67134,"18 Atlantic Ave, Lynbrook, NY 11563, United States",18,Atlantic Ave,,Lynbrook,11563.0,Nassau,NY,USA,1,11563,NEEMA,True,NEEMA PHARMACY INC,INDEPENDENT,POINT (-73.67134 40.65633),3940,36,059,412000,36059412000,4120,Census Tract 4120,G5020,S,1812673,0,+40.6592725,-073.6640379,False
9973,PHARMACY,"PETCARERX, INC.",,"C/O PHARMACY 52 MERTON AVE. LYNBROOK, NY 11563-0000",24631,2000-04-04,2022-05-01,2025-04-30,,,,,,True,1.0,1.0,40.65563,-73.6587,"52 Merton Ave, Lynbrook, NY 11563, United States",52,Merton Ave,,Lynbrook,11563.0,Nassau,NY,USA,1,11563,"PETCARERX,",True,PETCARERX INC,HEALTHCARE,POINT (-73.6587 40.65563),3940,36,059,412000,36059412000,4120,Census Tract 4120,G5020,S,1812673,0,+40.6592725,-073.6640379,False
40,PHARMACY,133RD STREET PHARMACY INC.,,"1473 AMSTERDAM AVE STORE 1 NEW YORK, NY 10027-0000",27564,2005-12-02,2020-12-01,2023-11-30,,,,,,True,1.0,1.0,40.81731,-73.95318,"1473 Amsterdam Ave, New York, NY 10027, United States",1473,Amsterdam Ave,Harlem,New York,10027.0,New York,NY,USA,1,10027,133RD,True,133RD STREET PHARMACY INC,INDEPENDENT,POINT (-73.95318 40.81731),1549,36,061,021303,36061021303,213.03,Census Tract 213.03,G5020,S,153292,0,+40.8145587,-073.9531391,True
9511,PHARMACY,"OMEGA PHARMACY, INC",,"1439 AMSTERDAM AVE. NEW YORK, NY 10027-0000",28220,2007-03-14,2022-03-01,2025-02-28,,49659.0,,,,True,1.0,1.0,40.81646,-73.95379,"1439 Amsterdam Ave, New York, NY 10027, United States",1439,Amsterdam Ave,Harlem,New York,10027.0,New York,NY,USA,1,10027,OMEGA,True,OMEGA PHARMACY INC,INDEPENDENT,POINT (-73.95379 40.81646),1549,36,061,021303,36061021303,213.03,Census Tract 213.03,G5020,S,153292,0,+40.8145587,-073.9531391,True
48,PHARMACY,"139 CENTER PHARMACY, LLC.",,"139 CENTRE ST. STORE 105 NEW YORK, NY 10013-0000",33068,2014-09-19,2020-09-01,2023-08-31,,,,,,True,1.0,1.0,40.71745,-74.00059,"139 Centre St, New York, NY 10013, United States",139,Centre St,Chinatown,New York,10013.0,New York,NY,USA,1,10013,139,True,139 CENTER PHARMACY LLC,INDEPENDENT,POINT (-74.00059 40.71745),2624,36,061,003100,36061003100,31,Census Tract 31,G5020,S,204969,0,+40.7153110,-074.0038151,False
588,PHARMACY,"AID PHARMACY (NY), CORP.",ABC PHARMACY,"139 CENTRE STREET STORE #108 NEW YORK, NY 10013-0000",28867,2008-04-29,2020-04-01,2023-03-31,,,,,,True,1.0,1.0,40.71745,-74.00059,"139 Centre St, New York, NY 10013, United States",139,Centre St,Chinatown,New York,10013.0,New York,NY,USA,1,10013,AID,True,AID PHARMACY (NY) CORP,INDEPENDENT,POINT (-74.00059 40.71745),2624,36,061,003100,36061003100,31,Census Tract 31,G5020,S,204969,0,+40.7153110,-074.0038151,False
885,PHARMACY,APICHA COMMUNITY HEALTH CENTER,,"400 BROADWAY NEW YORK, NY 10013-0000",34572,2016-10-20,2019-10-01,2022-09-30,,47692.0,,,,True,1.0,1.0,40.71865,-74.00233,"400 Broadway, New York, NY 10013, United States",400,Broadway,Chinatown,New York,10013.0,New York,NY,USA,1,10013,APICHA,True,APICHA COMMUNITY HEALTH CENTER,HEALTHCARE,POINT (-74.00233 40.71865),2624,36,061,003100,36061003100,31,Census Tract 31,G5020,S,204969,0,+40.7153110,-074.0038151,False
