type,legal_name,trade_name,street_address,registration_number,date_first_registered,registration_begins,registration_ends,establishment_status,supervisor_no,supervisor_name,successor_no,successor_name
PHARMACY,"1100 KENMORE AVE., INC.",BUFFALO PHARMACIES,"1100 KENMORE AVENUE BUFFALO, NY 14216-0000",17315,11/19/81,Not on file,3/5/93,TRANSFER,,,21604,BUFFALO PHARMACIES INC./ KOHLER REDDEN PHARMACY
PHARMACY,1101 PHARMACY INC.,FAMILY PHARMACY,"1101 FLATBUSH AVE. BROOKLYN, NY 11226-0000",26228,10/24/03,1/1/05,2/27/06,TRANSFER,,,27614,KAMRAN PHARMACY INC./ FAMILY PHARMACY
PHARMACY,1105 JTP LLC,GENOME PHARMACY,"1105 JERICHO TPKE NEW HYDE PARK, NY 11040-0000",38019,4/7/20,4/7/20,3/31/23,,37286,,,
PHARMACY,115 IRVING AVENUE PHARMACY INC.,,"235 WYCKOFF AVE. BROOKLYN, NY 11237-5303",18182,6/11/84,7/1/16,9/8/16,DISCONTINUED,,,,
PHARMACY,115 IRVING AVENUE PHARMACY INC.,ATLANTIC PHARMACY & SURGICAL SUPPLIES,"1706-B ATLANTIC AVE. BROOKLYN, NY 11213-0000",35113,12/27/16,12/27/16,4/19/19,TRANSFER,,,37321,"JFL PHARMACY, INC./ ATLANTIC PHARMACY & SURGICAL SUPPLIES"
PHARMACY,1150 WEBSTER PHARMACY INC.,167TH STREET PHARMACY,"1150 WEBSTER AVE. BRONX, NY 10456-5205",33751,8/28/15,8/1/21,7/31/24,,51330,,,
PHARMACY,1157 BLAKE AVENUE PHARMACY CORP.,EBONY PHARMACY,"1157 BLAKE AVE. BROOKLYN, NY 11208-0000",22223,10/19/94,Not on file,10/7/98,DISCONTINUED,,,,
PHARMACY,118-18 PHARMACY INC.,LEFFERTS PHARMACY,"118-18 101ST AVE. RICHMOND HILL, NY 11419-0000",18487,3/1/85,Not on file,9/6/95,DISCONTINUED,,,,
PHARMACY,119 EINSTEIN PHARMACY INC.,,"119 EINSTEIN LOOP BRONX, NY 10475-0000",28123,4/23/07,4/23/07,3/4/08,DISCONTINUED,,,,
PHARMACY,119 EINSTEIN PHARMACY INC.,ASSOCIATED PHARMACY,"119 EINSTEIN LOOP BRONX, NY 10475-0000",22989,8/15/96,Not on file,2/13/02,DISCONTINUED,,,,
PHARMACY,119 EINSTEIN PHARMACY INC.,,"119 EINSTEIN LOOP BRONX, NY 10475-0000",21690,5/21/93,Not on file,5/1/96,DISCONTINUED,,,,
PHARMACY,120 E. PROSPECT AVE. DRUG CORP.,"PRESCRIPTION STORE, THE","120 E. PROSPECT AVE. MT. VERNON, NY 10550-0000",16941,10/29/80,Not on file,6/18/98,DISCONTINUED,,,,
PHARMACY,121 CENTRAL PHARMACY CORP,CENTRAL PHARMACY,"121 KENT AVE. BROOKLYN, NY 11249-2993",36034,1/30/18,1/30/18,12/1/20,TRANSFER,,,38334,"CENTRAL PHARMACY OF BROOKLYN, LLC/ CENTRAL PHARMACY"
PHARMACY,121 PHARMACY INC.,,"1938 SECOND AVE. NEW YORK, NY 10029-0000",22244,12/28/94,Not on file,4/15/03,TRANSFER,,,25557,92 PHARMACY INC.
PHARMACY,121-16 LIBERTY AVENUE DRUGS INC.,CPW PHARMACY,"121-16 LIBERTY AVE. RICHMOND HILL, NY 11419-2112",27272,6/22/05,6/1/11,12/10/12,TRANSFER,,,31231,CPW PHARMA INC./ CPW PHARMACY
PHARMACY,1219 FIRST AVENUE PHARMACY INC.,CHEMIST PHARMACY,"93-30 43RD AVE. ELMHURST, NY 11373-0000",28122,11/20/06,10/1/12,12/22/14,DISCONTINUED,,,,
PHARMACY,1225 FULTON AVENUE PHARMACY INC.,BEST CARE PHARMACY,"1967 WESTCHESTER AVE. BRONX, NY 10462-0000",27415,12/9/05,12/1/17,7/13/18,TRANSFER,,,36768,BEST CARE PHARMA INC/ BEST CARE PHARMACY
PHARMACY,123 PHARMACY INC.,,"37-12 PRINCE ST. RETAIL F14 FLUSHING, NY 11354-0000",38735,3/18/21,3/18/21,2/29/24,,,,,
PHARMACY,123 PHARMACY INC.,WE CARE PHARMACY,"764 BURKE AVENUE BRONX, NY 10467-0000",31972,6/21/13,6/1/22,5/31/25,,68532,,,
PHARMACY,1230 FULTON DRUGS CORP.,,"1230 FULTON ST BROOKLYN, NY 11216-0000",18678,6/25/85,Not on file,1/8/90,DISCONTINUED,,,,
PHARMACY,124 RX CORP.,QUICKRX,"157 WEST 124TH ST. NEW YORK, NY 10027-0000",28767,1/28/08,1/1/11,6/27/13,DISCONTINUED,,,,
PHARMACY,13 1/2 PALISADES DRUG CORP.,,"3021 3RD AVE. BRONX, NY 10455-0000",18881,11/21/85,Not on file,6/26/92,DISCONTINUED,,,,
PHARMACY,130TH ST. COMMUNITY PHARMACY INC.,,"301 WEST 130TH ST. NEW YORK, NY 10027-0000",16759,4/15/80,Not on file,2/1/89,DISCONTINUED,,,,
PHARMACY,1325 FIFTH AVE. DRUGS INC.,OCEANSIDE PHARMACY & SUPERMARKET,"3206 MERMAID AVE. BROOKLYN, NY 11224-1810",34982,11/18/16,11/1/19,10/31/22,,49549,,,
PHARMACY,133 DRUG CORP.,LAKEVIEW PHARMACY,"133 LAKEVIEW AVE. LYNBROOK, NY 11563-0000",15748,2/19/77,3/1/22,2/28/25,,39982,,,
PHARMACY,133RD STREET PHARMACY INC.,,"1473 AMSTERDAM AVE STORE 1 NEW YORK, NY 10027-0000",27564,12/2/05,12/1/20,11/30/23,,,,,
PHARMACY,135 JERICHO PHARMACY CORP,,"135 WEST JERICHO TURNPIKE STORE #3 HUNTINGTON STATION, NY 11746-0000",38860,6/28/21,6/28/21,5/31/24,,,Type :  PHARMACY             Legal Name :  135 JERICHO PHARMACY CORP                          Trade Name :  Street Address :   135 WEST JERICHO TURNPIKE,,
PHARMACY,1350 MADISON AVE. INC.,REXALL DRUGS,"1335 MADISON AVE. NEW YORK, NY 10128-0000",9951,5/1/63,Not on file,12/12/02,DISCONTINUED,,,,
PHARMACY,1351 SOUTHSIDE APOTHECARY LTD.,,"C/O PHARMACY 1815 S. CLINTON AVE. ROCHESTER, NY 14618-0000",16386,3/22/79,Not on file,6/7/99,TRANSFER,,,,
PHARMACY,136 PHARMACY INC.,,"136 B NAGLE AVE. NEW YORK, NY 10040-0000",18499,3/8/85,Not on file,5/12/95,DISCONTINUED,,,,
PHARMACY,"1368 LINDEN BOULEVARD PHARMACY, INC.",LINDEN PHARMACY,"1368 LINDEN BOULEVARD BROOKLYN, NY 11212-0000",27217,7/11/05,7/1/08,2/13/09,TRANSFER,,,29264,"LINDEN PHARMA, INC./ LINDEN PHARMACY"
PHARMACY,137 MOTT PHARMACY INC.,,"137 MOTT STREET NEW YORK, NY 10013-0000",39032,8/24/21,8/24/21,7/31/24,,61752,,,
PHARMACY,137 PHARMACY CORP.,FAMILY PHARMACY,"3 WEST 137TH ST. NEW YORK, NY 10037-0000",31858,7/26/13,7/26/13,2/19/15,DISCONTINUED,,,,
PHARMACY,"139 CENTER PHARMACY, LLC.",,"139 CENTRE ST. STORE 105 NEW YORK, NY 10013-0000",33068,9/19/14,9/1/20,8/31/23,,,,,
PHARMACY,139 PHARMACY INC.,,"3415 BROADWAY NEW YORK, NY 10031-0000",15978,10/28/77,11/1/19,10/31/22,,46640,,,
PHARMACY,1394 YORK PHARMACY INC.,ARLIN PHARMACY,"1394 YORK AVE NEW YORK, NY 10021-0000",19084,4/29/86,Not on file,6/20/90,TRANSFER,,,20679,CHRISTIE PHARMACY INC./ EAST SIDE PHARMACY
PHARMACY,13TH AVE PHARMACY INC.,,"5211-13TH AVE. BROOKLYN, NY 11219-0000",30745,7/1/11,7/1/20,6/30/23,,61041,,,
PHARMACY,14 LAWRENCE AVENUE PHARMACY CORP.,LOWE DRUGS,"14 LAWRENCE AVE. SMITHTOWN, NY 11787-0000",16123,4/27/78,Not on file,4/20/88,DISCONTINUED,,,,
PHARMACY,1400 ST NICHOLAS LLC,SAFE HEART PHARMACY,"1400 ST. NICHOLAS AVE. NEW YORK, NY 10033-0000",36579,6/22/18,6/1/21,5/31/24,,35379,,,
PHARMACY,1401 AVENUE U PHARMACY INC.,AVENUE U PRESCRIPTION CENTER,"1401 AVE U BROOKLYN, NY 11229-0000",18809,10/4/85,Not on file,7/6/99,DISCONTINUED,,,,
PHARMACY,1413 FULTON ST. PHARMACY INC.,,"1413 FULTON ST. BROOKLYN, NY 11216-0000",15396,3/1/76,4/1/07,3/23/09,TRANSFER,,,29275,1413 RX CORP./ QUICK RX
PHARMACY,1413 RX CORP.,QUICK RX,"1456 FULTON ST. BROOKLYN, NY 11216-0000",29275,3/23/09,3/1/18,2/9/21,TRANSFER,,,38288,1413 RX NY LLC/ QUICK RX
PHARMACY,1413 RX NY LLC,QUICK RX,"1456 FULTON ST BROOKLYN, NY 11216-0000",38288,2/9/21,2/9/21,1/31/24,,50822,,,
PHARMACY,1428 FLATBUSH AVE. PHARMACY INC.,,"1428 FLATBUSH AVE. BROOKLYN, NY 11210-0000",18470,2/11/85,Not on file,1/2/87,DISCONTINUED,,,,
PHARMACY,145TH ST PHARMACY INC.,,"300 W. 145TH STREET NEW YORK, NY 10039-0000",34115,12/17/15,12/1/21,11/30/24,,56473,,,
PHARMACY,"149 EAST PHARMACY, INC.",,"229 EAST 149TH STREET BRONX, NY 10451-0000",18340,10/31/84,Not on file,2/1/92,DISCONTINUED,,,,
PHARMACY,"1491 DEKALB AVE. PHARMACY, INC.",,"1472 DEKALB AVE. BROOKLYN, NY 11237-0000",18542,4/8/85,5/1/13,7/30/13,DISCONTINUED,,,,
PHARMACY,1491 LEX PHARMACY INC.,LEXINGTON AVE CHEMISTS,"1491 LEXINGTON AVENUE NEW YORK, NY 10029-0000",27656,2/6/06,2/1/09,4/27/11,DISCONTINUED,,,,
PHARMACY,15 W PHARMACY NY LLC,THE WELLMART PHARMACY,"200 WESTAGE BUSINESS CENTER DRIVE FISHKILL, NY 12524-0000",27728,8/1/06,8/1/06,11/21/07,DISCONTINUED,,,,
PHARMACY,1500 MET DRUG INC.,OVAL DRUG,"1500 METROPOLITAN AVE. BRONX, NY 10462-0000",21084,9/5/91,10/1/13,7/29/15,TRANSFER,,,33722,OVAL PHARMACY CORP./ OVAL DRUG
PHARMACY,"1500 PHARMACY, INC.",,"181 EIGHTH AVE. NEW YORK, NY 10011-0000",21503,11/24/92,Not on file,6/19/99,TRANSFER,,,24457,"PROCARE N.Y. PHARMACY, INC./ CVS PROCARE PHARMACY #2681"
PHARMACY,1514 PHARMACY INC.,STAR PHARMACY,"1540 FIRST AVE NEW YORK, NY 10028-0000",19165,7/9/86,Not on file,7/16/99,DISCONTINUED,,,,
PHARMACY,158 RX CORP.,QUICK RX,"11 EDWARD MORGAN PLACE NEW YORK, NY 10032-0000",29684,8/25/09,8/25/09,6/24/10,DISCONTINUED,,,,
PHARMACY,158-14 DRUG CORP.,CASTLE PHARMACY,"158-14 CROSS BAY BLVD. HOWARD BEACH, NY 11414-0000",19357,1/30/87,Not on file,12/23/88,TRANSFER,,,20078,"PATKOL CHEMISTS, INC./ CASTLE PHARMACY"
PHARMACY,"158TH ST. NEIGHBORHOOD PHARMACY, LLC",,"3103 3RD AVENUE BRONX, NY 10457-0000",26148,9/22/03,1/1/05,10/26/07,DISCONTINUED,,,,
PHARMACY,161 ST. PHARMA INC.,161 ST PHARMACY & SURGICAL SUPPLIES,"275 E 161ST ST. BRONX, NY 10451-0000",35767,4/25/18,4/1/21,3/31/24,,62838,,,
PHARMACY,161 ST. PHARMACY INC.,161 ST. PHARMACY & DISCOUNT STORE,"275 EAST 161ST. ST. BRONX, NY 10451-0000",27268,8/18/05,8/1/17,4/25/18,TRANSFER,,,35767,161 ST. PHARMA INC./ 161 ST PHARMACY & SURGICAL SUPPLIES
PHARMACY,1622 VOORHIES AVE PHARMACY INC.,SUNSHINE PHARMACY,"1622 VOORHIES AVE BROOKLYN, NY 11235-0000",29665,10/5/09,10/1/21,9/30/24,,55039,,,
PHARMACY,163 BROADWAY INC.,BROADWAY PRESCRIPTION CENTER,"163 BROADWAY BUFFALO, NY 14204-0000",19442,5/19/87,Not on file,2/7/90,TRANSFER,,,20410,BROADWAY PRESCRIPTION CENTER INC.
PHARMACY,167 RX INC,,"55 EAST 167TH ST BRONX, NY 10452-0000",38342,8/27/20,8/27/20,7/31/23,,54210,,,
PHARMACY,167 STREET PRESCRIPTION CENTER INC.,UNIVERSAL PRESCRIPTION CENTER,"112 E. 167TH ST. BRONX, NY 10452-0000",13277,4/3/71,5/1/10,12/28/12,DISCONTINUED,,,,
PHARMACY,168 DME INC,168 PHARMACY,"135-05 38TH AVE. FLUSHING, NY 11354-0000",38398,9/29/20,9/29/20,8/31/23,,59344,,,
PHARMACY,168TH ST. DRUGS INC.,QUEENSBRIDGE PHARMACY,"10-37 41ST AVE. LONG ISLAND CITY, NY 11101-0000",17963,11/30/83,Not on file,6/21/94,DISCONTINUED,,,,
PHARMACY,169 DME INC.,169 PHARMACY,"136-46 41ST AVE UNIT 1D FLUSHING, NY 11355-0000",39526,5/12/22,5/12/22,4/30/25,,,,,
PHARMACY,1698 86TH STREET PHARMACY CORP.,BENSONHURST PHARMACY,"1698 86TH ST. BROOKLYN, NY 11214-0000",19323,12/1/86,Not on file,4/8/96,DISCONTINUED,,,,
PHARMACY,1699 FANCY PHARMACY INC.,,"1699 PITKIN AVE BROOKLYN, NY 11212-0000",18786,9/16/85,Not on file,4/30/88,DISCONTINUED,,,,
PHARMACY,1699 FANCY PHARMACY INC.,,"132 ALLEN ST. NEW YORK, NY 10002-3008",19989,10/28/88,11/1/19,10/31/22,,54035,,,
PHARMACY,16TH AVE PHARMACY LLC,,"4605 16TH AVE. BROOKLYN, NY 11204-1105",38082,4/7/20,4/7/20,3/31/23,,57177,,,
PHARMACY,16TH AVENUE PHARMACY INC.,,"4408 16TH AVENUE BROOKLYN, NY 11204-0000",24523,12/8/99,1/1/11,5/30/12,DISCONTINUED,,,,
PHARMACY,1708 PHARMACY INC.,,"523 LENOX AVE. NEW YORK, NY 10037-0000",24712,8/3/00,1/1/05,6/20/06,TRANSFER,,,27852,MALCOLM X PHARMACY CORP.
PHARMACY,1717 SHERIDAN DRIVE BAZAAR SUPERMARKET CO.,BELLS PHARMACY,"1717 SHERIDAN DR. TONAWANDA, NY 14223-0000",21107,10/16/91,Not on file,5/17/93,TRANSFER,,,21673,QUALITY MARKETS/PENN TRAFFIC CO.
PHARMACY,1717 SHERIDAN DRIVE SUPERMARKET CO.,BELLS PHARMACY,"1717 SHERIDAN DRIVE TONAWANDA, NY 14223-0000",20635,10/1/90,Not on file,10/16/91,TRANSFER,,,21107,1717 SHERIDAN DRIVE BAZAAR SUPERMARKET CO./ BELLS PHARMACY
PHARMACY,1717-1721 AVE. U CORP.,MORRIS DRUGS,"1717-1721 AVENUE U BROOKLYN, NY 11229-0000",20853,2/27/91,1/1/05,3/15/05,TRANSFER,,,27006,MORRIS DRUG INC./ MORRIS DRUGS
PHARMACY,1721 CARNEGIE HILL PHARMACY INC.,CARNEGIE HILL PHARMACY,"1721 BROADWAY NEW YORK, NY 10019-5214",31604,2/14/13,2/1/22,4/15/22,DISCONTINUED,,,,
PHARMACY,1725 FOSTER DRUG CORP.,WILLNER DRUG,"1725 FOSTER AVE. BROOKLYN, NY 11230-0000",20952,7/31/91,Not on file,3/25/04,DISCONTINUED,,,,
PHARMACY,173 PHARMACY CORP.,,"572 W 173RD ST NEW YORK, NY 10032-0000",39423,4/7/22,4/7/22,3/31/25,,54888,,,
PHARMACY,"1733 PRESCRIPTIONS, LTD.",,"1701-1703 MACOMBS RD. BRONX, NY 10453-0000",19502,7/29/87,Not on file,4/5/96,DISCONTINUED,,,,
PHARMACY,"1746 PHARMACY, CORP.",CLARKSON PHARMACY,"524 CLARKSON AVE. BROOKLYN, NY 11203-0000",16591,10/24/79,11/1/19,10/31/22,,49675,,,
PHARMACY,175 JERICHO PHARMACY CORP.,SYOSSET PHARMACY,"175 JERICHO TPKE. WEST LOBBY SUITE SYOSSET, NY 11791-4532",36613,5/24/18,5/1/21,4/30/24,,,,,
PHARMACY,1756 PHARMACY INC.,DRUG RICH PHARMACY,"1756 3RD AVE. NEW YORK, NY 10029-0000",17558,9/13/82,1/1/05,11/30/06,DISCONTINUED,,,,
PHARMACY,1759 PHARMACY INC.,,"2226 3RD AVE. NEW YORK, NY 10035-0000",20824,12/4/90,Not on file,4/14/93,DISCONTINUED,,,,
PHARMACY,176TH STREET PHARMACY INC.,,"1846 JEROME AVE. BRONX, NY 10453-0000",18665,6/20/85,Not on file,4/1/88,DISCONTINUED,,,,
PHARMACY,1772 COLVIN PHARMACY INC.,ASK ME PHARMACY OF KENMORE,"1770 COLVIN BLVD. KENMORE, NY 14223-0000",16468,6/26/79,Not on file,11/21/91,DISCONTINUED,,,,
PHARMACY,"179 ATLANTIC, INC.",HEALTH MART PHARMACY,"29 ATLANTIC AVENUE FREEPORT, NY 11520-0000",26615,4/27/04,5/1/22,4/30/25,,40035,,,
PHARMACY,"179 JAMAICA AVENUE DRUG STORE, INC.",,"179 JAMAICA AVE. BROOKLYN, NY 11207-0000",18417,12/26/84,Not on file,5/13/93,DISCONTINUED,,,,
PHARMACY,1797 DRUG CORP.,FRIENDLY PHARMACY,"1797 BROADWAY BROOKLYN, NY 11207-0000",18409,12/13/84,Not on file,8/4/92,DISCONTINUED,,,,
PHARMACY,17TH STREET APOTHECARY INC.,,"11 EAST 17TH ST. NEW YORK, NY 10003-0000",20760,12/19/90,Not on file,11/10/04,DISCONTINUED,,,,
PHARMACY,18 PHARMACY INC,MCP RX,"89 BOWERY NEW YORK, NY 10002-0000",34670,6/7/16,6/1/22,5/31/25,,60182,,,
PHARMACY,181 PHARMACY INC.,TULSI PHARMACY,"565 W. 181 ST. ST. NEW YORK, NY 10033-0000",25953,5/21/03,6/1/22,5/31/25,,44762,,,
PHARMACY,18217 RX INC,DI PHARMACY,"182-17 JAMAICA AVE. JAMAICA, NY 11423-0000",38197,8/4/20,8/4/20,10/14/21,TRANSFER,,,39080,HEALTH AID RX PHARMACY INC/ DI PHARMACY
PHARMACY,184 WELL CARE PHARMACY INC.,WELLCARE PHARMACY,"70 EAST 184TH ST. BRONX, NY 10468-0000",33547,7/1/15,7/1/15,8/23/17,TRANSFER,,,35563,HOPE PHARMACY INC/ WELL CARE PHARMACY
PHARMACY,184TH ST. PHARMACY CORP.,,"2387 MORRIS AVENUE BRONX, NY 10468-6515",31663,1/31/13,1/31/13,12/31/15,DISCONTINUED,,,,
PHARMACY,1875 LEXINGTON AVENUE CORP. OF NEW YORK,,"279 MAIN STREET SUITE 103 NEW PALTZ, NY 12561-1623",37007,2/13/19,2/13/19,10/29/20,TRANSFER,,,,
PHARMACY,1875 LEXINGTON AVENUE CORP. OF NEW YORK,QUICK RX,"C/O PHARMACY 1875 LEXINGTON AVENUE NEW YORK, NY 10035-0000",28368,5/2/07,5/1/16,8/13/18,DISCONTINUED,,,,
PHARMACY,1875 LEXINGTON AVENUE LLC OF NYS,QUICK RX,"279 MAIN ST. SUITE 103 NEW PALTZ, NY 12561-1623",38230,10/29/20,10/29/20,9/30/23,,,,,
PHARMACY,1881 PHARMACY CORP.,,"1881 GRAND CONCOURSE BRONX, NY 10453-0000",19935,9/7/88,Not on file,3/1/93,DISCONTINUED,,,,
PHARMACY,18TH AVE. PHARMACY CORP.,,"5411 18TH AVE. BROOKLYN, NY 11204-0000",25629,3/14/03,4/1/16,5/20/16,TRANSFER,,,34509,SERVAID PHARMACY INC./ 18TH AVE PHARMACY
PHARMACY,"18TH AVENUE DRUG STORE, INC.",RX WORLD PHARMACY,"8110 18TH AVENUE BROOKLYN, NY 11214-0000",27708,4/4/06,4/1/09,8/2/11,DISCONTINUED,,,,
PHARMACY,1940 DRUG MART INC.,TICK TOCK DRUGS,"1350 DEER PARK AVE. NO. BABYLON, NY 11703-0000",16094,4/7/78,Not on file,9/6/95,TRANSFER,,,22541,"CVS ALBANY, L.L.C./ CVS/PHARMACY"
PHARMACY,"195 5TH AVE. FARMACIA, INC.",,"195 5TH AVE. BROOKLYN,, NY 11217-0000",16514,8/29/79,Not on file,11/25/98,DISCONTINUED,,,,
PHARMACY,1951 FLATBUSH AVENUE PHARMACY CORP.,BERKELEY PHARMACY,"1951 FLATBUSH AVE. BROOKLYN, NY 11234-0000",16936,11/1/80,12/1/07,1/9/09,TRANSFER,,,29258,BERKELEY DRUGS INC./ BERKELEY DRUGS
PHARMACY,1ST BRONXCARE PHARMACY INC.,,"438 E. 149TH STREET BRONX, NY 10455-0000",32975,12/8/14,12/8/14,4/13/17,TRANSFER,,,35284,SERVAID CORP./ 1ST BRONXCARE PHARMACY
PHARMACY,2 D CHEMISTS INC.,MID-VILLAGE PHARMACY,"51 BROADWAY GREENLAWN, NY 11740-0000",15909,8/22/77,9/1/10,5/23/11,TRANSFER,,,30734,GREENLAWN PHARMACY INC./ MID VILLAGE PHARMACY
PHARMACY,"200 BASSETT ROAD OPERATING COMPANY, LLC.",,"200 BASSETT ROAD WILLIAMSVILLE, NY 14221-2639",31932,8/6/13,8/1/19,7/31/22,,56013,,,
PHARMACY,2000 NINOS INC.,2000 NINOS PHARMACY,"3663 BROADWAY NEW YORK, NY 10031-0000",31805,3/13/13,3/1/16,7/27/16,TRANSFER,,,34130,BHOLE PHARMACY INC./ 2000 NINOS PHARMACY
PHARMACY,2000 NINOS PHARMACY INC.,,"3663 BROADWAY NEW YORK, NY 10031-0000",22880,6/18/96,7/1/10,3/13/13,TRANSFER,,,31805,2000 NINOS INC./ 2000 NINOS PHARMACY
PHARMACY,2001 BATH AVE PHARMACY INC.,FAMILY PHARMACY,"2001 BATH AVE BROOKLYN, NY 11214-0000",27339,7/6/05,7/6/05,10/4/07,TRANSFER,,,28360,SHIFA PHARMACY INC.
PHARMACY,"2027 ALICO PHARMACY, CORP.",ALICO PHARMACY,"2027 JEROME AVE BRONX, NY 10453-0000",28927,7/10/08,7/1/20,6/30/23,,56572,,,
PHARMACY,203 WEST 231ST STREET PHARMACY INC.,STUART PHARMACY,"203 W. 231ST ST. BRONX, NY 10463-0000",17620,11/18/82,Not on file,12/31/98,DISCONTINUED,,,,
PHARMACY,2070 PHARMACY CORP.,TU SALUD PHARMACY,"2070A JEROME AVENUE BRONX, NY 10453-1817",34610,5/25/16,5/25/16,10/23/18,DISCONTINUED,,,,
PHARMACY,207TH STREET ENTERPRISES INC.,FARMACIA SAN JUDA TADEO,"520 W. 207TH ST. NEW YORK, NY 10034-0000",22909,5/28/96,Not on file,8/5/99,TRANSFER,,,24305,JANIK PHARMACY CORP./ ST. JUDE'S PHARMACY
PHARMACY,21 AVE PHARMACY & MEDICAL SUPPLY INC.,,"8511 21ST AVE BROOKLYN, NY 11214-0000",28463,7/27/07,7/1/22,6/30/25,,60864,,,
PHARMACY,21 GRAHAM AVENUE PHARMACY CORP.,SAM'S DRUGS,"21 GRAHAM AVE. BROOKLYN, NY 11206-0000",22085,5/16/94,Not on file,3/21/96,TRANSFER,,,22879,"RITE AID OF NEW YORK, INC./ RITE AID PHARMACY #4435"
PHARMACY,210 MERIT DYCKMAN CORP.,MERIT PHARMACY,"210 DYCKMAN ST. NEW YORK, NY 10040-0000",17107,5/16/81,Not on file,9/30/88,DISCONTINUED,,,,
PHARMACY,2101 CHURCH & FLATBUSH PHARMACY LLC,THRIFTWAY PHARMACY SUPER CENTER,"C/O PHARMACY 2101 CHURCH AVE. BROOKLYN, NY 11226-0000",26566,7/28/04,7/28/04,7/25/05,DISCONTINUED,,,,
PHARMACY,"211 MCLEAN AVE. PHARMACY, INC.",MCLEAN AVE PHARMACY,"211 MCLEAN AVE YONKERS, NY 10705-0000",39026,9/23/21,9/23/21,8/31/24,,39270,,,
PHARMACY,2121 MAIN PRESCRIPTION CENTER INC.,MPC HEALTH CARE SERVICES,"2470 WALDEN AVE. BUFFALO, NY 14225-0000",20741,9/28/90,Not on file,3/28/94,TRANSFER,,,22059,FAY'S INCORPORATED/ ECKERD
PHARMACY,2121 MAIN PRESCRIPTION CENTER INC.,SETON MEDICAL CENTER,"2121 MAIN ST. SUITE 110 BUFFALO, NY 14214-0000",14742,9/27/74,Not on file,6/20/91,TRANSFER,,,,
